Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb,PlayedCards,DiscardedCards,PostJacksMask,PostTrumpCount,PostAces,PostTens,PostAttachedTens,PostTenKingSmall,PostSkatFulls
[CJ CA CK ST SK S9 S7 HK H9 DQ],C,3,0,1,0,1,0,[CQ C8],3,0.0000,[CK CQ C8 ST SK S9 S7 HK H9 DQ],[CJ CA],-,3,0,1,0,1,1
[SJ HJ SA SK HT HK H8 H7 DA D8],SH,2,2,1,0,1,0,[CT DK],14,0.0000,[CT SA SK HT HK H8 H7 DA DK D8],[SJ HJ],-,1,2,1,0,1,0
[SJ C8 C7 SA SK HA HT HK H7 DA],S,3,3,1,1,1,0,[S8 D8],0,0.0000,[SJ C8 C7 SA SK S8 HA HT HK DA],[H7 D8],S,3,3,1,1,0,0
[C9 C8 C7 S7 HA HQ H9 DA DQ D9],-,3,2,0,0,0,0,[HJ H8],2,0.0000,[C8 C7 S7 HA HQ H9 H8 DA DQ D9],[HJ C9],-,2,2,0,0,0,0
[SJ HJ CQ C9 SK S9 HA HT HK DA],SH,4,2,1,1,0,0,[S8 DQ],3,0.0000,[SJ HJ CQ C9 S9 HA HT HK DA DQ],[SK S8],SH,4,2,1,1,0,0
[SK SQ S8 HA HK HQ DT DK DQ D9],-,0,1,1,0,1,0,[HJ HT],12,0.0000,[SQ S8 HA HT HK HQ DT DK DQ D9],[HJ SK],-,0,1,2,1,1,0
[DJ CA CK CQ C9 S9 HQ H7 DA DQ],D,5,1,0,0,0,0,[CT SQ],13,0.0500,[DJ CA CT CK CQ C9 HQ H7 DA DQ],[SQ S9],D,6,1,0,0,0,0
[DJ CT C7 SA SK S8 S7 H9 H8 D9],D,3,1,0,0,0,0,[H7 DT],10,0.0000,[C7 SA SK S8 S7 H9 H8 H7 DT D9],[DJ CT],-,1,1,1,0,0,1
[CA CK C8 SK SQ S8 HQ H9 DA D9],-,3,1,0,0,0,0,[ST D7],10,0.0000,[C8 ST SK SQ S8 HQ H9 DA D9 D7],[CA CK],-,1,1,1,0,1,1
[HJ C9 C7 S8 S7 HQ H8 DK D8 D7],H,3,0,0,0,0,0,[SJ DQ],5,0.0000,[C9 C7 S8 S7 HQ H8 DK DQ D8 D7],[SJ HJ],-,2,0,0,0,0,0
[CJ HJ CT C9 C7 SQ S8 HA HQ DT],CH,5,1,1,0,0,0,[H9 H8],0,0.0000,[CT C9 C7 SQ S8 HA HQ H9 H8 DT],[CJ HJ],-,3,1,1,0,0,0
[CJ SJ DJ CK C8 SK S8 HA HK D7],CSD,5,1,0,0,0,0,[SA HT],21,0.9750,[CJ SJ DJ CK C8 SA S8 HA HT HK],[SK D7],CSD,5,2,1,1,0,0
[DJ C9 C8 SA ST S7 DA DT DK DQ],D,3,2,2,2,0,0,[C7 H9],0,0.0000,[C8 C7 SA ST S7 H9 DA DT DK DQ],[DJ C9],-,2,2,2,2,0,0
[CT CK C8 SK SQ S9 HA HQ D9 D7],-,3,1,0,0,0,0,[SA HT],21,0.0000,[C8 SA SK SQ S9 HA HT HQ D9 D7],[CT CK],-,1,2,1,1,0,1
[CJ DJ CT C7 SQ S7 HK DT DQ D8],CD,4,0,1,0,0,0,[SJ SA],13,0.3000,[CJ SJ DJ CT C7 SA S7 DT DQ D8],[SQ HK],CSD,5,1,1,0,0,0
[SJ CA SA S8 S7 HA H7 DQ D9 D7],S,2,2,0,0,0,0,[ST HK],14,0.0000,[SA ST S8 S7 HA HK H7 DQ D9 D7],[SJ CA],-,0,2,1,1,0,1
[CJ SJ SA SK S9 S7 HT H7 DT DK],CS,2,1,2,0,0,0,[C8 D9],0,0.0000,[C8 SA SK S9 S7 HT H7 DT DK D9],[CJ SJ],-,1,1,2,0,1,0
[DJ CA CT SQ S9 HT HQ H9 H8 DA],D,3,1,1,0,0,0,[SK H7],4,0.0000,[CT SK SQ S9 HT HQ H9 H8 H7 DA],[DJ CA],-,1,1,1,0,0,1
[CJ HJ CA CQ C9 ST SQ DT DQ D9],CH,5,0,2,0,0,0,[H7 D7],0,0.0000,[CA CQ C9 ST SQ H7 DT DQ D9 D7],[CJ HJ],-,3,0,2,0,0,0
[CJ CQ C9 C7 SA SK H9 H7 DA D8],C,4,2,0,0,0,0,[CT S7],10,0.4750,[CJ CT CQ C9 C7 SA SK S7 DA D8],[H9 H7],C,5,2,0,0,0,0
[DJ C7 SQ S8 HA HT HQ H9 H8 D7],D,2,1,1,1,0,0,[CK DT],14,0.0000,[C7 SQ S8 HA HT HQ H9 H8 DT D7],[DJ CK],-,1,1,2,1,0,0
[CJ SJ DJ CT C7 HT H8 DK DQ D7],CSD,5,0,1,0,0,0,[CQ DA],14,0.9500,[CJ SJ DJ CT CQ C7 DA DK DQ D7],[HT H8],CSD,6,1,0,0,0,1
[HJ DJ CA C7 SQ S9 HA HK H9 D8],HD,4,1,0,0,0,0,[CJ C9],2,0.7750,[CJ HJ DJ CA C9 C7 HA HK H9 D8],[SQ S9],CHD,6,1,0,0,0,0
[CJ SJ CQ C8 SQ S9 S8 HK H9 DA],CS,4,1,0,0,0,0,[DJ D8],2,0.1250,[CJ SJ DJ CQ C8 SQ S9 S8 DA D8],[HK H9],CSD,5,1,0,0,0,0
[CJ CA CK CQ S8 HT HQ DT D9 D7],C,4,0,2,0,0,0,[ST DA],21,0.0000,[CK CQ ST S8 HT HQ DA DT D9 D7],[CJ CA],-,2,1,3,1,0,1
[SJ CA CT CK C8 C7 ST SQ S7 DQ],S,6,0,1,0,0,0,[DJ CQ],5,0.9500,[SJ DJ CA CT CK CQ C8 C7 SQ S7],[ST DQ],SD,8,0,0,0,0,1
[CJ SJ CT C9 SK SQ H8 H7 DA D8],CS,4,1,0,0,0,0,[CQ C8],3,0.6250,[CJ SJ CT CQ C9 C8 SK SQ DA D8],[H8 H7],CS,6,1,0,0,0,0
[HJ CT C9 C8 C7 S9 S8 HK D9 D8],H,5,0,0,0,0,0,[S7 HA],11,0.0000,[C9 C8 C7 S9 S8 S7 HA HK D9 D8],[HJ CT],-,3,1,0,0,0,1
[HJ CK CQ C9 SA HA HK HQ H8 D8],H,4,2,0,0,0,0,[SQ DQ],6,0.0000,[CQ C9 SA SQ HA HK HQ H8 DQ D8],[HJ CK],-,2,2,0,0,0,0
[CJ DJ C7 SA ST HQ H8 H7 DT D9],CD,3,1,2,1,0,0,[CA D7],11,0.0000,[CJ DJ CA C7 SA ST HQ H7 DT D7],[H8 D9],CD,4,1,2,1,0,0
[SJ HJ CK SK S9 HA HK DT D8 D7],SH,3,1,1,0,0,0,[CQ H9],3,0.0000,[CK CQ SK S9 HA HK H9 DT D8 D7],[SJ HJ],-,2,1,1,0,0,0
[SJ CK S8 S7 HA H8 H7 DT D9 D7],S,2,1,1,0,0,0,[SQ HT],13,0.0000,[SQ S8 S7 HA HT H8 H7 DT D9 D7],[SJ CK],-,0,1,2,1,0,0
[SJ CT CK C8 SA S8 HA H8 DK D7],S,4,2,0,0,0,0,[HK HQ],7,0.0000,[CK C8 SA S8 HA HK HQ H8 DK D7],[SJ CT],-,2,2,0,0,0,1
[CJ SJ C8 ST S7 HQ H8 DT DQ D8],CS,3,0,2,0,0,0,[CA CK],15,0.0000,[CA CK C8 ST S7 HQ H8 DT DQ D8],[CJ SJ],-,3,0,2,0,0,0
[DJ CA CT CK C7 SA HK H9 DT D9],D,5,1,1,0,0,0,[HA DQ],14,0.1750,[DJ CA CT CK C7 SA HA DT DQ D9],[HK H9],D,5,2,1,0,0,0
[DJ CA CQ C8 SK SQ S9 HK H8 DK],D,4,0,0,0,0,0,[C9 D8],0,0.0000,[CQ C9 C8 SK SQ S9 HK H8 DK D8],[DJ CA],-,3,0,0,0,0,1
[DJ CA CK C9 C7 SQ H7 DT DQ D9],D,5,0,1,0,0,0,[CJ SK],6,0.0250,[CJ DJ CA CK C9 C7 SK DT DQ D9],[SQ H7],CD,6,0,1,0,0,0
[SJ HJ DJ CA CK SK HK DK D9 D7],SHD,5,0,0,0,0,0,[S9 DT],10,0.1750,[SJ HJ DJ CA CK SK DT DK D9 D7],[S9 HK],SHD,5,0,1,0,1,0
[CJ C8 C7 SK S9 S8 HQ DA D9 D8],C,3,1,0,0,0,0,[HK DT],14,0.0000,[C7 SK S9 S8 HK HQ DA DT D9 D8],[CJ C8],-,1,1,1,1,0,0
[CJ HJ CK CQ S9 S8 S7 HA HQ DQ],CH,4,1,0,0,0,0,[CA SA],22,0.8250,[CJ HJ CA CK CQ SA S9 S8 S7 HA],[HQ DQ],CH,5,2,0,0,0,0
[SJ DJ CK C8 ST S7 DQ D9 D8 D7],SD,4,0,1,0,0,0,[SA HQ],14,0.0000,[CK C8 SA ST S7 HQ DQ D9 D8 D7],[SJ DJ],-,2,1,1,1,0,0
[HJ CT CK C8 S9 DA DT DQ D8 D7],H,4,1,1,1,0,0,[CA ST],21,0.0250,[HJ CA CT CK C8 ST S9 DA DT DQ],[D8 D7],H,5,1,2,1,0,0
[HJ CA CT CQ C8 S7 HA DA DT DQ],H,5,2,1,1,0,0,[CK S8],4,1.0000,[HJ CA CT CK CQ C8 HA DA DT DQ],[S8 S7],H,6,2,1,1,0,0
[DJ CT CQ C9 C8 S9 S8 HK H8 DT],D,5,0,1,0,0,0,[CK DQ],7,0.0000,[CK CQ C9 C8 S9 S8 HK H8 DT DQ],[DJ CT],-,4,0,1,0,0,1
[CJ HJ DJ CK ST S7 HT HK HQ DT],CHD,4,0,3,0,0,0,[C7 S8],0,0.0000,[DJ CK C7 ST S8 S7 HT HK HQ DT],[CJ HJ],D,3,0,3,0,0,0
[CJ SJ DJ CK SA S7 HK H8 DQ D9],CSD,4,1,0,0,0,0,[HJ SK],6,0.6750,[CJ SJ HJ DJ CK SA SK S7 DQ D9],[HK H8],CSHD,5,1,0,0,0,0
[DJ CA CQ C8 SK SQ H7 DT DK D8],D,4,0,1,0,1,0,[CK C7],4,0.0000,[CK CQ C8 C7 SK SQ H7 DT DK D8],[DJ CA],-,4,0,1,0,1,1
[CJ CT CK CQ C9 C8 C7 S8 HA H7],C,7,1,0,0,0,0,[HT DK],14,1.0000,[CJ CT CK CQ C9 C8 C7 HA HT H7],[S8 DK],C,7,1,1,1,0,0
[CJ SA ST SQ HK HQ H9 DT DQ D9],C,1,1,2,1,0,0,[DK D8],4,0.0000,[ST SQ HK HQ H9 DT DK DQ D9 D8],[CJ SA],-,0,0,2,0,1,1
[CA CK CQ C8 SA S8 HQ H7 DA DK],-,4,2,0,0,0,0,[DT D9],10,0.0000,[CQ C8 SA S8 HQ H7 DA DT DK D9],[CA CK],-,2,2,1,1,1,1
[HJ CQ SA SK S8 S7 H8 DA DK D9],H,2,2,0,0,0,0,[CK HT],14,0.0000,[CQ SA SK S8 S7 HT H8 DA DK D9],[HJ CK],-,1,2,1,0,0,0
[SJ DJ CA SA S9 S8 HQ H8 DQ D8],SD,3,1,0,0,0,0,[HJ DA],13,0.0000,[SJ HJ DJ CA SA S8 HQ DA DQ D8],[S9 H8],SHD,4,2,0,0,0,0
[HJ CK CQ C7 S9 S7 HK H9 H8 DK],H,4,0,0,0,0,0,[SJ S8],2,0.0000,[CK CQ C7 S9 S8 S7 HK H9 H8 DK],[SJ HJ],-,3,0,0,0,0,0
[HJ CA CT CQ C8 SQ S7 HA DA D8],H,5,2,0,0,0,0,[ST S9],10,0.3500,[HJ CA CT CQ C8 ST S9 S7 HA DA],[SQ D8],H,5,2,1,0,0,0
[DJ CA C7 SQ S8 HT HK H9 DA D9],D,3,1,1,0,1,0,[CK D8],4,0.0000,[CK C7 SQ S8 HT HK H9 DA D9 D8],[DJ CA],-,2,1,1,0,1,1
[CJ SJ CQ SA S9 S7 H8 DA DT DK],CS,3,2,1,1,0,0,[SK D7],4,0.0000,[CJ SJ CQ SA S9 H8 DA DT DK D7],[SK S7],CS,3,2,1,1,1,0
[SJ CA CT CK SK S7 H7 DA DT D9],S,4,1,1,1,0,0,[ST S9],10,0.0000,[SJ CA CT CK ST SK S9 S7 DA DT],[H7 D9],S,4,1,2,1,1,0
[DJ CT C8 C7 SK S8 HK DK DQ D8],D,4,0,0,0,0,0,[H8 DT],10,0.0000,[C8 C7 SK S8 HK H8 DT DK DQ D8],[DJ CT],-,2,0,1,0,1,1
[CJ CQ SA SQ S7 HA HQ DA DQ D7],C,2,3,0,0,0,0,[DJ D8],2,0.0000,[CJ DJ CQ SA S7 HA HQ DA DQ D7],[SQ D8],CD,3,3,0,0,0,0
[HJ DJ CT C9 ST SK H9 H8 H7 D8],HD,4,0,1,0,0,0,[S7 HK],4,0.0000,[CT C9 ST SK S7 HK H9 H8 H7 D8],[HJ DJ],-,2,0,1,0,1,0
[SJ HJ C9 C7 SK S9 H8 H7 DA DT],SH,4,1,1,1,0,0,[HQ DQ],6,0.0000,[C9 C7 SK S9 HQ H8 H7 DA DT DQ],[SJ HJ],-,2,1,1,1,0,0
[SJ HJ DJ CQ C8 C7 S9 S8 H7 D8],SHD,6,0,0,0,0,0,[CJ HT],12,0.9500,[CJ SJ HJ DJ CQ C8 C7 HT H7 D8],[S9 S8],CSHD,7,0,1,0,0,0
[HJ DJ CK C7 HK HQ DT DQ D9 D7],HD,4,0,1,0,0,0,[SJ DA],13,0.8000,[SJ HJ DJ CK C7 DA DT DQ D9 D7],[HK HQ],SHD,5,1,1,1,0,0
[CJ CA C9 C8 SA SK HK H7 DT DQ],C,4,1,1,0,0,0,[S8 S7],0,0.0000,[C9 C8 SA SK S8 S7 HK H7 DT DQ],[CJ CA],-,2,1,1,0,0,1
[SJ CA CK C9 C7 S7 HA DT DK D9],S,5,1,1,0,1,0,[SQ D8],3,0.0000,[CK C9 C7 SQ S7 HA DT DK D9 D8],[SJ CA],-,3,1,1,0,1,1
[CJ DJ S9 HA HQ H9 H8 DK DQ D9],CD,2,1,0,0,0,0,[SJ CK],6,0.0000,[DJ CK S9 HA HQ H9 H8 DK DQ D9],[CJ SJ],D,2,1,0,0,0,0
[DJ CT CQ C7 SK SQ S7 H7 D9 D8],D,4,0,0,0,0,0,[HT DA],21,0.0000,[CQ C7 SK SQ S7 HT H7 DA D9 D8],[DJ CT],-,2,1,1,0,0,1
[HJ DJ CT ST S8 HT HQ H7 DT DK],HD,3,0,3,0,0,0,[CJ CA],13,0.0000,[DJ CA CT ST S8 HT HQ H7 DT DK],[CJ HJ],D,3,0,3,0,0,0
[SJ CA CQ C8 C7 HA HQ H8 D9 D7],S,5,1,0,0,0,0,[CJ CT],12,0.9750,[CJ SJ CA CT CQ C8 C7 HA D9 D7],[HQ H8],CS,7,1,0,0,0,0
[HJ CK CQ S8 HK H7 DQ D9 D8 D7],H,3,0,0,0,0,0,[CJ S9],2,0.0000,[CK CQ S9 S8 HK H7 DQ D9 D8 D7],[CJ HJ],-,2,0,0,0,0,0
[DJ CA CK C8 SA S8 HK HQ H9 DQ],D,4,1,0,0,0,0,[HJ D9],2,0.0000,[CA CK C8 SA S8 HK HQ H9 DQ D9],[HJ DJ],-,3,1,0,0,0,0
[CJ CK C8 ST SK S9 S8 S7 HT DT],C,3,0,3,0,1,0,[SQ DQ],6,0.0000,[C8 ST SK SQ S9 S8 S7 HT DT DQ],[CJ CK],-,1,0,3,0,1,0
[HJ DJ CA CK C8 SK HQ H9 DQ D9],HD,5,0,0,0,0,0,[C9 HT],10,0.0000,[CA CK C9 C8 SK HT HQ H9 DQ D9],[HJ DJ],-,4,0,1,0,0,0
[HJ C9 C8 SA ST S9 HA H9 DA D7],H,3,3,1,1,0,0,[CK H8],4,0.2750,[HJ CK C9 C8 SA ST S9 HA H9 DA],[H8 D7],H,4,3,1,1,0,0
[SJ DJ CQ C9 C8 C7 SA S7 H9 D9],SD,6,1,0,0,0,0,[ST DT],20,0.0500,[SJ DJ CQ C9 C7 SA ST S7 DT D9],[C8 H9],SD,5,1,2,1,0,0
[HJ C9 C8 C7 SQ S9 HA H9 DT DK],H,4,1,1,0,0,0,[HQ D7],3,0.0000,[C8 C7 SQ S9 HA HQ H9 DT DK D7],[HJ C9],-,2,1,1,0,1,0
[CJ CA C8 C7 ST SK S9 H9 DK D9],C,4,0,1,0,1,0,[S7 D7],0,0.0000,[C8 C7 ST SK S9 S7 H9 DK D9 D7],[CJ CA],-,2,0,1,0,1,1
[CJ C7 SA ST S8 S7 H9 DT DK DQ],C,2,1,2,1,0,0,[C8 S9],0,0.0000,[C7 SA ST S9 S8 S7 H9 DT DK DQ],[CJ C8],-,1,1,2,1,0,0
[CJ SJ CA CQ C9 C8 C7 HQ H8 DQ],CS,7,0,0,0,0,0,[S7 D7],0,0.5000,[CJ SJ CA CQ C9 C8 C7 HQ H8 DQ],[S7 D7],CS,7,0,0,0,0,0
[CJ CA CK C7 SA SQ S8 H9 DQ D7],C,4,1,0,0,0,0,[C8 ST],10,0.2000,[CJ CA CK C8 C7 SA ST SQ S8 H9],[DQ D7],C,5,1,1,1,0,0
[DJ CT C9 ST SK S7 HQ H7 DA DT],D,3,1,2,1,1,0,[CQ D9],3,0.0000,[CQ C9 ST SK S7 HQ H7 DA DT D9],[DJ CT],-,2,1,2,1,1,1
[SJ CA C8 SA SK SQ S7 HQ D9 D7],S,3,1,0,0,0,0,[CJ D8],2,0.0000,[CJ SJ CA SA SK SQ S7 D9 D8 D7],[C8 HQ],CS,3,1,0,0,0,0
[CA CK SA HA HK HQ H8 H7 DA DT],-,2,3,1,1,0,0,[CQ D8],3,0.0250,[CA SA HA HK HQ H8 H7 DA DT D8],[CK CQ],-,1,3,1,1,0,0
[SJ HJ CA CT CQ SQ HK H9 DT D8],SH,5,0,1,0,0,0,[C8 S9],0,0.0000,[CA CT CQ C8 SQ S9 HK H9 DT D8],[SJ HJ],-,4,0,1,0,0,0
[CJ HJ CA ST SK S7 HA HT H8 D7],CH,3,1,2,1,1,0,[CK H9],4,0.0000,[CJ HJ CA CK ST SK S7 HA HT H8],[H9 D7],CH,4,1,2,1,1,0
[CJ SJ HJ CK SK S9 S7 HT H8 H7],CSH,4,0,1,0,0,0,[DJ CA],13,0.6750,[CJ SJ HJ DJ CA CK SK HT H8 H7],[S9 S7],CSHD,6,0,1,0,0,0
[SJ CT ST HT HQ H8 H7 DK DQ D7],S,2,0,2,0,0,0,[H9 DT],10,0.0000,[ST HT HQ H9 H8 H7 DT DK DQ D7],[SJ CT],-,0,0,3,0,1,1
[SJ DJ CA CQ C9 SA ST S8 DK D8],SD,5,1,1,1,0,0,[SK HQ],7,0.4000,[SJ DJ CA CQ C9 SA ST SK S8 DK],[HQ D8],SD,5,1,1,1,1,0
[CQ SA S8 S7 HK HQ H8 DT DQ D9],-,1,1,1,0,0,0,[SJ DK],6,0.0000,[SA S8 S7 HK HQ H8 DT DK DQ D9],[SJ CQ],-,0,1,1,0,1,0
[CA S9 S8 S7 HK H8 H7 DA DT D8],-,1,1,1,1,0,0,[C8 D9],0,0.0000,[S9 S8 S7 HK H8 H7 DA DT D9 D8],[CA C8],-,0,1,1,1,0,1
[HJ DJ C7 SK SQ S9 S8 H7 DA DT],HD,3,1,1,1,0,0,[C9 DK],4,0.0000,[C9 C7 SK SQ S9 S8 H7 DA DT DK],[HJ DJ],-,2,1,1,1,0,0
[HJ CA CQ C9 SA SQ S9 H8 D9 D8],H,4,1,0,0,0,0,[SJ H9],2,0.0000,[CA CQ C9 SA SQ S9 H9 H8 D9 D8],[SJ HJ],-,3,1,0,0,0,0
[SJ CT SA SK S9 HA HT DA D8 D7],S,2,3,1,1,0,0,[DJ C8],2,0.7250,[SJ DJ CT C8 SA SK S9 HA HT DA],[D8 D7],SD,4,3,1,1,0,0
[CJ SJ HJ DJ C9 ST S8 HT H9 D8],CSHD,5,0,2,0,0,0,[HQ DQ],6,0.2250,[CJ SJ HJ DJ C9 ST S8 HT HQ H9],[DQ D8],CSHD,5,0,2,0,0,0
[CQ C8 C7 SA SQ HK HQ H8 DT D8],-,3,1,1,0,0,0,[SJ HJ],4,0.0000,[CQ C8 C7 SA SQ HK HQ H8 DT D8],[SJ HJ],-,3,1,1,0,0,0
[CJ SJ CA CQ C9 SA S9 S7 HK D8],CS,5,1,0,0,0,0,[H7 DT],10,0.2250,[CJ SJ CA CQ C9 SA S9 S7 DT D8],[HK H7],CS,5,1,1,0,0,0
[SJ DJ CK C9 ST S8 HA HT HK DQ],SD,4,1,2,1,0,0,[C8 S9],0,0.0000,[CK C9 C8 ST S9 S8 HA HT HK DQ],[SJ DJ],-,3,1,2,1,0,0
[SJ DJ CQ C9 C7 SK S9 HQ H8 DQ],SD,5,0,0,0,0,0,[C8 SA],11,0.0500,[SJ DJ CQ C9 C8 C7 SA SK S9 DQ],[HQ H8],SD,6,1,0,0,0,0
[DJ CA C9 SA S9 HK HQ H9 DK D7],D,3,1,0,0,0,0,[H8 DA],11,0.0000,[C9 SA S9 HK HQ H9 H8 DA DK D7],[DJ CA],-,1,2,0,0,0,1
[DJ CA CQ C7 SA ST SK HA H8 DT],D,4,2,2,1,0,0,[SJ CT],12,0.9000,[SJ CA CT CQ C7 SA ST SK HA DT],[DJ H8],S,5,2,2,1,0,0
[CJ SJ CK C9 C8 C7 SQ S7 HA HQ],CS,6,1,0,0,0,0,[CT HK],14,0.8250,[CJ SJ CT CK C8 C7 S7 HA HK HQ],[C9 SQ],CS,6,1,0,0,0,0
[CA CT CK C7 SA SQ S7 HA H7 DA],-,4,3,0,0,0,0,[HJ DK],6,0.7250,[HJ CA CT CK C7 SA S7 HA DA DK],[SQ H7],H,5,3,0,0,0,0
[SJ CT CQ C9 C8 HT HK H9 H7 D8],S,5,0,1,0,1,0,[DA DK],15,0.0000,[SJ CT CQ C9 C8 HT H9 DA DK D8],[HK H7],S,5,1,1,0,0,0
[CA CQ SA SQ H9 H8 H7 DA DT D9],-,2,2,1,1,0,0,[C9 C8],0,0.0000,[C9 C8 SA SQ H9 H8 H7 DA DT D9],[CA CQ],-,2,2,1,1,0,1
[CJ DJ CQ SQ S7 HA DA DT DQ D8],CD,3,2,1,1,0,0,[S9 D7],0,0.0000,[CQ SQ S9 S7 HA DA DT DQ D8 D7],[CJ DJ],-,1,2,1,1,0,0
[SJ CT CK C7 SK S9 S8 HK DA DK],S,4,1,0,0,0,0,[S7 H8],0,0.0000,[CK C7 SK S9 S8 S7 HK H8 DA DK],[SJ CT],-,2,1,0,0,0,1
[HJ CA CK C8 ST S9 HA H7 DT DK],H,4,1,2,0,0,0,[DJ CT],12,0.4250,[HJ DJ CA CT CK C8 HA H7 DT DK],[ST S9],HD,6,1,1,0,0,1
[SJ CA C9 C8 SQ HA HT HQ DA DQ],S,4,2,1,1,0,0,[CT CQ],13,0.9500,[SJ CA CT CQ C9 C8 HA HT DA DQ],[SQ HQ],S,6,2,1,1,0,0
[DJ CA CT C7 ST HA H9 H7 DQ D7],D,4,1,1,0,0,0,[HJ CQ],5,0.2500,[HJ DJ CA CT CQ C7 ST HA H9 H7],[DQ D7],HD,6,1,1,0,0,0
[CJ CT C9 C8 ST S9 H8 DT D9 D7],C,4,0,2,0,0,0,[H9 DA],11,0.0000,[C9 C8 ST S9 H9 H8 DA DT D9 D7],[CJ CT],-,2,1,2,1,0,1
[SJ DJ CT C8 ST SQ S9 HT HK D8],SD,4,0,2,0,0,0,[CK DK],8,0.0000,[CT CK C8 ST SQ S9 HT HK DK D8],[SJ DJ],-,3,0,2,0,0,0
[CA CK C8 SA SQ S8 HQ H7 DK DQ],-,3,1,0,0,0,0,[CT HT],20,0.0000,[CK C8 SA SQ S8 HT HQ H7 DK DQ],[CA CT],-,2,1,1,0,0,2
[CJ DJ CA CK C7 SA S9 S7 HA D9],CD,5,2,0,0,0,0,[SK D8],4,0.5250,[CJ DJ CA CK C7 SA SK S7 HA D9],[S9 D8],CD,5,2,0,0,0,0
[DJ CT CK CQ C8 SA HQ DA D9 D8],D,5,2,0,0,0,0,[HA D7],11,0.5500,[DJ CT CK CQ C8 SA HA DA D9 D8],[HQ D7],D,5,3,0,0,0,0
[CJ SJ HJ DJ CA CT HK H7 DK DQ],CSHD,6,0,0,0,0,0,[S9 HA],11,0.8250,[SJ HJ DJ CA CT HA HK H7 DK DQ],[CJ S9],SHD,5,1,0,0,0,0
[DJ CA CT CK SK S9 S7 HQ H7 D8],D,4,0,0,0,0,0,[SJ S8],2,0.0000,[CA CT CK SK S9 S8 S7 HQ H7 D8],[SJ DJ],-,3,0,0,0,0,0
[CJ HJ CT CQ SQ S7 HQ H8 DQ D7],CH,4,0,0,0,0,0,[C9 D8],0,0.0000,[CT CQ C9 SQ S7 HQ H8 DQ D8 D7],[CJ HJ],-,3,0,0,0,0,0
[SJ HJ CK ST SQ S7 HQ H9 H8 DT],SH,3,0,2,0,0,0,[CT DK],14,0.0000,[CT CK ST SQ S7 HQ H9 H8 DT DK],[SJ HJ],-,2,0,2,0,0,0
[CJ CA CT C8 ST SQ S9 HK H9 DQ],C,4,0,1,0,0,0,[HQ D9],3,0.0000,[CT C8 ST SQ S9 HK HQ H9 DQ D9],[CJ CA],-,2,0,1,0,0,1
[CQ C8 C7 SQ HA H8 DA DK D9 D8],-,3,2,0,0,0,0,[DJ S9],2,0.0000,[C8 C7 SQ S9 HA H8 DA DK D9 D8],[DJ CQ],-,2,2,0,0,0,0
[CJ CT CK C9 C8 C7 S9 HT H9 D7],C,6,0,1,0,0,0,[SK HQ],7,0.0000,[CK C9 C8 C7 SK S9 HT HQ H9 D7],[CJ CT],-,4,0,1,0,0,1
[DJ CQ SK HT HQ H9 H7 DK DQ D9],D,2,0,1,0,0,0,[SJ SQ],5,0.0000,[CQ SK SQ HT HQ H9 H7 DK DQ D9],[SJ DJ],-,1,0,1,0,0,0
[CJ CA CT C9 ST SQ S8 H9 H8 D8],C,4,0,1,0,0,0,[DJ CQ],5,0.2250,[CJ DJ CA CT CQ C9 ST SQ S8 D8],[H9 H8],CD,6,0,1,0,0,0
[DJ CA CT CQ C9 SQ HT H9 H8 D8],D,5,0,1,0,0,0,[DA DQ],14,0.0000,[CT CQ C9 SQ HT H9 H8 DA DQ D8],[DJ CA],-,3,1,1,0,0,1
[CJ SJ CA CT CQ C8 SK S7 HK D7],CS,6,0,0,0,0,0,[HJ H8],2,0.7750,[CJ SJ HJ CA CT CQ C8 S7 HK H8],[SK D7],CSH,7,0,0,0,0,0
[HJ DJ CK C7 SQ S9 S8 S7 H8 H7],HD,4,0,0,0,0,0,[C8 DA],11,0.0000,[CK C8 C7 SQ S9 S8 S7 H8 H7 DA],[HJ DJ],-,3,1,0,0,0,0
[CJ DJ CT CQ ST SK S9 HA H8 DK],CD,4,1,1,0,1,0,[C9 S8],0,0.4000,[CJ DJ CT CQ C9 ST SK S9 S8 HA],[H8 DK],CD,5,1,1,0,1,0
[HJ ST SK SQ HA H8 H7 DA DT D8],H,1,2,2,1,0,0,[DK D9],4,0.0000,[SK SQ HA H8 H7 DA DT DK D9 D8],[HJ ST],-,0,2,1,1,1,1
[HJ DJ CQ C7 SQ S9 HT DA D9 D7],HD,4,1,1,0,0,0,[S7 DQ],3,0.0000,[CQ C7 SQ S9 S7 HT DA DQ D9 D7],[HJ DJ],-,2,1,1,0,0,0
[HJ CT CQ C8 SA S7 HT HK DK D7],H,4,1,1,0,0,0,[CJ HQ],5,0.1750,[CJ HJ CT CQ C8 SA S7 HT HK HQ],[DK D7],CH,5,1,1,0,0,0
[SJ CA CQ C9 C8 SK HT H8 DA DK],S,5,1,1,0,0,0,[CT HK],14,0.6500,[SJ CA CT CQ C9 C8 HT HK H8 DA],[SK DK],S,6,1,1,0,1,0
[SJ C7 S9 S8 HA HT H7 DA DQ D7],S,2,2,1,1,0,0,[DJ HK],6,0.0000,[C7 S9 S8 HA HT HK H7 DA DQ D7],[SJ DJ],-,1,2,1,1,1,0
