Hand,Skat,BestGame,ProbNull,SafeSuits,VoidSuits,TotalGaps,Blank8s,Gaps_C,Gaps_S,Gaps_H,Gaps_D
 [CQ C9 HA HQ HT H9 H7 DK DJ D7]    ,[SA S8],Null,0.1,2,1,4,0,2,0,0,2
 [CK CJ C9 C8 H9 H7 DA DQ DT D8]    ,[SK SQ],Null,0.05,2,1,5,0,1,0,0,4
 [SJ S9 S8 S7 H8 H7 DA DQ DT D8]    ,[CA CT],Null,0.15,3,1,4,0,0,0,0,4
 [CA CT C8 C7 ST HA HK H8 H7 D7]    ,[DA DQ],Null,0.1,1,0,4,0,1,1,2,0
 [CT C9 SQ SJ S9 HK H8 H7 DJ D9]    ,[DK DQ],Null,0.05,0,0,8,0,2,3,1,2
 [ST S9 S7 HA HK HQ HT H7 D9 D8]    ,[CK C9],Null,0.4,2,1,3,0,0,0,2,1
 [CQ C9 C7 S9 HJ HT H9 DJ DT D7]    ,[SK SQ],Null,0.05,0,0,5,0,1,1,2,1
 [ST S9 HQ HJ HT DK DQ DJ DT D7]    ,[C9 S8],Null,0.1,1,1,5,0,0,1,3,1
 [CA CQ C8 C7 ST S7 H8 H7 DJ D8]    ,[SK DA],Null,0.15,1,0,5,0,2,1,0,2
 [CA CJ C9 C8 ST HK HQ H9 D9 D7]    ,[SK HT],Null,0.05,1,0,6,0,2,1,3,0
 [C9 C7 SA SQ S9 S7 HJ H8 H7 D8]    ,[CA DJ],Null,0.8,2,0,3,1,0,2,0,1
 [CA CQ CT C9 HK H9 H8 DT D8 D7]    ,[SQ DJ],Null,0.05,2,1,6,0,4,0,2,0
 [C8 SK SJ ST S7 HT H8 DA DQ D9]    ,[CK DJ],Null,0.05,0,0,7,1,1,1,2,3
 [ST S9 HA HK HJ H9 DK DJ D8 D7]    ,[CK CQ],Null,0.05,2,1,6,0,0,2,4,0
 [C8 SK SJ S9 S7 HT H9 H8 DT D8]    ,[CA CQ],Null,0.15,1,0,4,1,1,0,1,2
 [C7 SA SK SQ S8 S7 HK HT DJ D7]    ,[CA DQ],Null,0.05,1,0,4,0,0,1,2,1
 [C8 ST S9 S8 S7 HQ HT H9 D8 D7]    ,[HK HJ],Null,0.05,2,0,3,1,1,0,2,0
 [CK CQ C9 C8 HQ H8 H7 DK DJ DT]    ,[SA D9],Null,0.05,1,1,6,0,2,0,1,3
 [HA HQ HT H9 H7 DA DK DJ D8 D7]    ,[CK S7],Null,1.0,4,2,0,0,0,0,0,0
 [CT C8 ST S9 HJ H9 H8 H7 DQ DT]    ,[C9 S8],Null,0.1,1,0,4,0,1,1,0,2
 [SQ SJ S9 S8 S7 H9 DK DJ D9 D8]    ,[CQ HQ],Null,0.15,2,1,2,0,0,0,1,1
 [CA CQ C9 SQ ST S8 H9 H7 DT D8]    ,[HJ DJ],Null,0.05,1,0,8,0,3,3,0,2
 [CA CQ C9 C7 HQ HJ H9 H8 D9 D8]    ,[SA HK],Null,0.25,1,1,4,0,2,0,1,1
 [CA CK CQ C9 SK SJ S8 S7 H9 D9]    ,[HK DQ],Null,0.05,1,0,6,0,4,0,1,1
 [C9 C8 SA SK SQ ST S9 S7 H8 D8]    ,[CT DJ],Null,0.7,1,0,3,2,1,0,1,1
 [CA C9 C8 HK HT DA DQ DJ D9 D7]    ,[CQ S9],Null,0.05,2,1,4,0,2,0,2,0
 [C9 C8 SK SQ H7 DA DK DQ DT D8]    ,[S8 HK],Null,0.05,1,0,6,0,1,2,0,3
 [CK C9 C7 HT H9 H7 DT D9 D8 D7]    ,[SJ ST],Null,0.3,3,1,1,0,1,0,0,0
 [C9 SQ ST S8 H9 H8 DQ DJ D9 D7]    ,[CQ SJ],Null,0.15,1,0,4,0,1,2,1,0
 [C7 ST HJ HT H9 H7 DQ D9 D8 D7]    ,[SK SQ],Null,0.3,3,0,1,0,0,1,0,0
 [CQ C8 C7 HA HQ H9 DQ DJ DT D8]    ,[SK S7],Null,0.05,1,1,6,0,1,0,3,2
 [CK CJ C8 C7 S8 HQ HJ HT H9 H7]    ,[SK DJ],Null,1.0,3,1,1,1,0,1,0,0
 [CT C8 S9 S8 HK HQ HT H7 DJ DT]    ,[CK D9],Null,0.1,0,0,7,0,2,1,2,2
 [CQ CT C9 S8 S7 HK HJ H8 H7 DT]    ,[CK DJ],Null,0.15,2,0,4,0,3,0,0,1
 [CA CK C8 C7 S8 S7 H9 H7 D9 D7]    ,[HK DK],Null,0.45,3,0,2,0,2,0,0,0
 [C8 SA SK SQ ST S8 HT H9 D9 D7]    ,[CJ C9],Null,0.1,1,0,6,1,1,3,2,0
 [CA CK CQ CT C8 C7 H7 D9 D8 D7]    ,[ST DJ],Null,1.0,4,1,0,0,0,0,0,0
 [C9 C7 HK HQ HJ H9 H8 DJ D9 D7]    ,[SK HT],Null,0.7,3,1,1,0,0,0,1,0
 [CQ CJ C9 C7 S9 S8 DK DQ D9 D8]    ,[HQ HJ],Null,0.2,2,1,3,0,0,1,0,2
 [C8 SK SQ S8 S7 HA HQ H9 H8 D7]    ,[CK CJ],Null,0.2,1,0,5,1,1,1,3,0
 [SA SK SQ ST S9 S8 S7 HT H7 D7]    ,[DK DT],Null,0.95,3,1,1,0,0,0,1,0
 [CA C9 C8 C7 SK SJ S9 S7 H7 D8]    ,[HA DK],Null,0.95,2,0,2,1,1,0,0,1
 [C9 C8 SQ S8 HK HT H7 DQ DT D7]    ,[CA HQ],Null,0.1,0,0,7,0,1,2,2,2
 [CQ CT C9 SK SJ ST S9 S8 HQ DT]    ,[HK D9],Null,0.05,0,0,6,0,3,1,1,1
 [C8 C7 S9 S8 HA HQ HT H9 H8 D7]    ,[SA SQ],Null,0.15,2,0,2,0,0,1,1,0
 [C7 S9 S8 S7 HA HQ HT H9 H7 D9]    ,[DA DK],Null,0.45,3,0,1,0,0,0,0,1
 [CT S9 S7 HQ HT DK DJ D9 D8 D7]    ,[CA SK],Null,0.05,2,0,3,0,1,0,2,0
 [CQ C9 C7 HA HK HT H9 DK D9 D7]    ,[SA D8],Null,0.05,1,1,6,0,1,0,4,1
 [C9 C8 S8 S7 H9 DK DQ D9 D8 D7]    ,[HQ HT],Null,0.5,2,0,2,0,1,0,1,0
 [CT C7 SJ ST S7 HK HQ HT H8 D9]    ,[CA DQ],Null,0.05,0,0,6,0,1,1,3,1
 [CA CT C8 HT H7 DA DK DT D9 D7]    ,[CQ SK],Null,0.15,2,1,4,0,3,0,1,0
 [C9 SQ SJ S9 S8 HK HJ H9 H8 H7]    ,[CQ DQ],Null,0.1,2,1,2,0,1,1,0,0
 [C8 C7 S7 HK HQ HJ H9 H8 D8 D7]    ,[SQ SJ],Null,0.25,3,0,1,0,0,0,1,0
 [SA SQ SJ S9 S8 S7 HT H9 H8 H7]    ,[CQ CT],Null,1.0,4,2,0,0,0,0,0,0
 [S7 HK HQ HJ HT H9 H8 H7 D8 D7]    ,[CA CT],Null,1.0,4,1,0,0,0,0,0,0
 [CJ C8 SK SQ S8 H8 H7 DK DJ D7]    ,[C7 DA],Null,0.05,1,0,6,0,1,3,0,2
 [CQ C8 C7 S8 HA HK HQ H9 H8 H7]    ,[DQ DT],Null,0.75,2,1,2,1,1,1,0,0
 [CQ CT C9 C8 HQ HJ H9 H8 H7 DA]    ,[SK S9],Null,0.05,2,1,2,0,1,0,0,1
 [C8 C7 S7 HT H9 DK DQ DT D9 D7]    ,[CA CK],Null,0.3,3,0,2,0,0,0,2,0
 [SJ S9 S7 H9 H7 DK DQ D9 D8 D7]    ,[CJ SK],Null,1.0,4,1,0,0,0,0,0,0
 [SA SQ SJ S9 S8 HT DQ D9 D8 D7]    ,[CA CQ],Null,0.1,2,1,2,0,0,1,1,0
 [C9 SK SQ ST S8 S7 H8 H7 DQ D8]    ,[CK DK],Null,0.05,2,0,3,0,1,0,0,2
 [CJ S8 HT H9 H7 DQ DT D9 D8 D7]    ,[CK SK],Null,0.1,2,0,2,1,1,1,0,0
 [C9 C8 C7 ST S8 DA DK DJ D9 D7]    ,[SQ HJ],Null,0.3,3,1,2,0,0,2,0,0
 [CT C8 SK SQ S9 S7 DA D9 D8 D7]    ,[CQ HK],Null,0.35,1,1,4,0,2,1,0,1
 [CT C7 SA SK SQ SJ S8 S7 D9 D7]    ,[HT DA],Null,0.9,3,1,1,0,1,0,0,0
 [CA C9 C8 C7 ST S9 H9 H8 D9 D7]    ,[SQ HQ],Null,0.1,1,0,4,0,1,2,1,0
 [CK CQ C9 SK S9 S7 HA H9 H8 D7]    ,[HQ DK],Null,0.05,1,0,6,0,3,1,2,0
 [CT C9 C8 SK SQ ST S9 S8 S7 H7]    ,[CQ HA],Null,0.65,3,1,1,0,1,0,0,0
 [SJ S9 S7 HA HQ HJ HT H8 H7 D7]    ,[CK C9],Null,1.0,4,1,0,0,0,0,0,0
 [SJ S8 HA HK H9 H7 DK DT D9 D8]    ,[CT C7],Null,0.2,1,1,5,0,0,2,2,1
 [CK CQ CT C7 HK HJ HT H7 DT D7]    ,[SA S9],Null,0.1,1,1,4,0,2,0,1,1
 [CT C8 S8 HQ HT H8 H7 DJ D8 D7]    ,[CJ SK],Null,0.35,2,0,3,1,2,1,0,0
 [CJ C9 C7 SQ S9 S7 DA D9 D8 D7]    ,[HJ HT],Null,0.45,2,1,2,0,0,1,0,1
 [CT SJ S8 HQ HJ H9 H8 DA DK D7]    ,[SQ S7],Null,0.05,0,0,5,0,1,1,1,2
 [CQ C8 S8 HK HJ HT H8 DQ DT D8]    ,[CK HQ],Null,0.05,0,0,8,1,2,1,2,3
 [CA CQ C9 C8 H7 DA DQ DJ D8 D7]    ,[S9 S7],Null,0.35,3,1,3,0,3,0,0,0
 [CQ C9 C7 SA SJ S9 S8 S7 H9 H8]    ,[HA DK],Null,0.2,2,1,2,0,1,0,1,0
 [CK CT C8 S8 H9 H7 DQ D9 D8 D7]    ,[SK SJ],Null,0.1,2,0,4,1,3,1,0,0
 [CQ C8 C7 S8 S7 HA HQ H9 H8 D8]    ,[HJ DJ],Null,0.25,1,0,3,1,1,0,1,1
 [CQ ST S9 S8 HK HT H9 H8 DQ D9]    ,[C8 DJ],Null,0.05,0,0,5,0,1,1,1,2
 [CQ CT C8 ST S8 HK HQ H9 H7 D7]    ,[CK S9],Null,0.2,1,0,5,0,3,1,1,0
 [CJ CT C8 ST S8 H7 DA DK DJ D9]    ,[S7 H8],Null,0.05,2,0,6,0,2,0,0,4
 [C8 SK S9 S8 S7 H7 DK DQ DT D8]    ,[HA HQ],Null,0.1,2,0,4,1,1,0,0,3
 [S8 HA H9 H8 H7 DK DQ DJ D9 D7]    ,[CK SA],Null,1.0,2,1,2,1,0,1,1,0
 [CT C9 C8 HQ H8 DA DQ DT D9 D8]    ,[SK ST],Null,0.1,1,1,4,0,1,0,2,1
 [CJ C8 C7 SK SQ S9 HA DQ D9 D8]    ,[ST HQ],Null,0.05,1,0,6,0,0,3,1,2
 [C8 HA HJ H9 H7 DA DK DJ D8 D7]    ,[SA SK],Null,0.95,2,1,2,1,1,0,1,0
 [C7 S9 S8 S7 HQ HT H8 H7 D9 D7]    ,[CK C9],Null,1.0,4,0,0,0,0,0,0,0
 [CJ CT C9 S9 HK HT H7 DQ D9 D7]    ,[C8 SQ],Null,0.05,0,0,5,0,1,1,2,1
 [CK CQ CT C8 C7 H7 DK DJ D8 D7]    ,[CA S9],Null,1.0,4,1,0,0,0,0,0,0
 [C8 SQ S9 S7 H9 H8 H7 DQ D8 D7]    ,[CK CJ],Null,0.35,1,0,3,1,1,1,0,1
 [CK CT S8 S7 HK H9 DA DK DJ D7]    ,[C9 HJ],Null,0.05,1,0,7,0,2,0,2,3
 [CA C9 C8 C7 SQ S7 DQ D9 D8 D7]    ,[SA HQ],Null,0.1,2,1,2,0,1,1,0,0
 [CT C7 S9 HJ HT H9 H7 DQ DT D9]    ,[S7 DJ],Null,0.15,1,0,4,0,1,1,0,2
 [CA CT C9 C7 HT DA DK DQ D9 D7]    ,[SK HK],Null,0.25,1,1,3,0,1,0,1,1
 [C9 SQ ST S9 S8 S7 HT H9 DT D8]    ,[CA CQ],Null,0.2,1,0,5,0,1,0,2,2
 [C8 C7 S7 HA HQ HJ HT H9 H8 D8]    ,[CA SQ],Null,0.45,2,0,2,1,0,0,1,1
 [CA CJ C8 SQ S9 S8 HQ H7 DT D8]    ,[ST HK],Null,0.05,0,0,7,0,3,1,1,2
 [SA S9 S8 S7 H9 H7 DJ D9 D8 D7]    ,[C9 SJ],Null,1.0,4,1,0,0,0,0,0,0
 [CJ C7 S8 H8 DA DK DQ DT D9 D8]    ,[C9 SK],Null,0.75,0,0,4,2,1,1,1,1
 [C9 C7 ST S9 HT H7 DK DJ DT D8]    ,[SK DQ],Null,0.05,1,0,5,0,0,2,1,2
 [CJ CT C9 C7 S8 S7 HQ HT H8 D7]    ,[SK HJ],Null,0.25,3,0,2,0,0,0,2,0
 [CQ C8 SJ ST S9 S8 HQ H9 H7 DT]    ,[CK SQ],Null,0.05,0,0,5,0,2,1,1,1
 [CQ C9 SK SQ SJ S8 S7 HK HT H8]    ,[HJ DQ],Null,0.05,2,1,5,0,2,0,3,0
 [CK C8 C7 HJ H7 DA DK DT D8 D7]    ,[SA SQ],Null,0.35,2,1,2,0,1,0,1,0
 [CQ C8 SK SQ S9 S8 S7 HJ H9 H7]    ,[CA DK],Null,0.05,3,1,2,0,2,0,0,0
 [CK C8 C7 SK SQ S9 S8 HQ H7 D7]    ,[HJ DK],Null,0.05,1,0,4,0,1,2,1,0
 [CT C7 S9 S7 H8 H7 DK DT D9 D8]    ,[SA HA],Null,0.1,2,0,2,0,1,0,0,1
 [CA CK CT C7 SQ S9 HJ DK D8 D7]    ,[SK HQ],Null,0.05,0,0,7,0,3,2,1,1
 [SA ST S9 S8 HJ H9 H7 D9 D8 D7]    ,[CK CT],Null,0.35,3,1,2,0,0,2,0,0
 [CT SQ SJ S8 S7 HQ H9 H8 H7 D9]    ,[CA CQ],Null,0.15,2,0,2,0,1,0,0,1
 [CT C7 S9 S8 HJ HT H8 DK DT D8]    ,[SK HA],Null,0.05,0,0,7,0,1,1,2,3
 [SA SK ST S8 H8 H7 DA DT D9 D7]    ,[CQ C7],Null,0.3,2,1,5,0,0,4,0,1
 [C7 SA SJ S9 S7 HQ H9 H8 H7 D7]    ,[CA CQ],Null,0.9,3,0,1,0,0,1,0,0
 [CK CJ CT C9 C8 H8 H7 DQ D9 D8]    ,[SQ HA],Null,0.05,2,1,3,0,1,0,0,2
 [CA CT C9 C8 SK S9 S7 HT DK DT]    ,[CK DQ],Null,0.05,0,0,5,0,1,1,1,2
 [CA CQ C8 C7 S8 HJ HT H8 H7 D8]    ,[CT DK],Null,1.0,2,0,2,2,0,1,0,1
 [CQ C8 C7 SA SQ SJ ST S7 D9 D7]    ,[HQ DA],Null,0.3,2,1,2,0,1,1,0,0
 [CT C7 HT H9 H8 DK DQ DJ D9 D7]    ,[CA CK],Null,0.25,2,1,2,0,1,0,1,0
 [CQ CJ CT C9 C8 SQ S7 HJ HT D8]    ,[SK DQ],Null,0.05,0,0,5,1,1,1,2,1
 [CA CQ CJ CT C9 C8 ST S8 H8 D8]    ,[SQ HK],Null,0.6,0,0,5,2,1,2,1,1
 [CT C8 SQ ST H9 H7 DQ DT D9 D7]    ,[CQ SK],Null,0.05,2,0,4,0,2,2,0,0
 [CT C8 C7 HJ H9 H7 DA DK D8 D7]    ,[SA ST],Null,0.6,3,1,2,0,0,0,0,2
 [C9 HJ HT H9 H8 DK DJ D9 D8 D7]    ,[CT DA],Null,0.4,2,1,2,0,1,0,1,0
 [CJ C9 C7 S8 S7 H7 DQ DJ D9 D7]    ,[SK SQ],Null,1.0,4,0,0,0,0,0,0,0
 [CQ CT C9 SK SQ ST S7 DQ D9 D7]    ,[HA H9],Null,0.05,1,1,6,0,3,2,0,1
 [C8 S9 S7 HJ H9 H8 H7 DK DT D8]    ,[SA DA],Null,0.25,2,0,4,1,1,0,0,3
 [CK C9 C8 C7 SK ST S9 S8 S7 H8]    ,[H9 D9],Null,1.0,3,1,1,1,0,0,1,0
 [C9 C8 ST S8 HA HJ HT H8 H7 D8]    ,[CA SK],Null,0.2,1,0,4,1,1,2,0,1
 [C7 SQ S9 HK HQ DA DQ DT D8 D7]    ,[CJ S8],Null,0.05,2,0,4,0,0,2,2,0
 [CK CJ C9 HQ H8 H7 DJ DT D9 D8]    ,[CT S9],Null,0.05,1,1,5,0,3,0,1,1
 [CT C9 SQ S9 H9 H8 DK DJ D9 D7]    ,[C8 SJ],Null,0.3,1,0,4,0,1,2,1,0
 [CA CQ CJ CT C7 SK SJ S9 S7 H7]    ,[HQ D9],Null,0.8,3,1,1,0,1,0,0,0
 [CK CT C9 SK ST S9 S8 HQ DQ D7]    ,[CA SA],Null,0.05,0,0,6,0,3,1,1,1
 [CK CQ C8 C7 S7 HJ H8 H7 DJ D7]    ,[SK DK],Null,0.3,2,0,2,0,1,0,0,1
 [CT C7 SA SQ SJ ST S8 S7 D9 D8]    ,[HT DJ],Null,0.6,2,1,2,0,1,0,0,1
 [C9 SQ S7 HJ H9 DA DK DQ DT D7]    ,[CK HQ],Null,0.05,0,0,6,0,1,1,2,2
 [CJ SQ SJ S8 S7 H8 DK D9 D8 D7]    ,[CQ CT],Null,0.25,2,0,2,1,1,0,1,0
 [C9 S9 S8 HT H7 DA DJ DT D9 D7]    ,[CK CQ],Null,0.2,1,0,3,0,1,1,1,0
 [CK CQ CJ C7 S9 H8 DK DQ DT D8]    ,[SK HA],Null,0.05,0,0,7,1,2,1,1,3
 [CT SA SQ ST S8 S7 DQ DT D9 D7]    ,[CQ HK],Null,0.3,3,1,1,0,1,0,0,0
 [S8 S7 HT H9 H8 H7 DQ DT D9 D8]    ,[CK SA],Null,0.15,3,1,1,0,0,0,0,1
 [CA CJ C9 SK SQ ST HJ H8 H7 DT]    ,[C8 HK],Null,0.05,1,0,7,0,3,3,0,1
 [CJ CT C8 SQ S9 H9 H8 H7 DQ D8]    ,[SK HJ],Null,0.05,1,0,6,0,2,2,0,2
 [C9 C7 SA ST S9 S8 S7 H7 D9 D7]    ,[CJ DQ],Null,1.0,4,0,0,0,0,0,0,0
 [C9 SA SQ SJ HQ HT DK DQ DJ D7]    ,[ST H9],Null,0.05,0,0,8,0,1,3,2,2
 [CT C9 C7 SK SJ S7 HT DT D8 D7]    ,[CQ HK],Null,0.1,2,0,3,0,0,2,1,0
 [C9 SA SK S9 S8 S7 H9 H8 DJ D9]    ,[CK HQ],Null,0.1,1,0,4,0,1,0,1,2
 [C9 C7 HK HQ H9 H8 H7 DT D9 D7]    ,[CK CQ],Null,1.0,4,1,0,0,0,0,0,0
 [CK CJ SK SQ ST S8 S7 H9 H8 D8]    ,[DQ DJ],Null,0.15,1,0,4,1,2,0,1,1
 [SA ST HA HQ H9 H8 H7 DT D9 D8]    ,[CQ C9],Null,0.05,2,1,3,0,0,2,0,1
 [CQ SA SJ S9 S8 HQ H7 DQ D8 D7]    ,[CK HT],Null,0.05,0,0,5,0,1,2,1,1
 [C7 S9 HJ H7 DK DQ DJ D9 D8 D7]    ,[SK HQ],Null,0.35,2,0,2,0,0,1,1,0
 [SA SK S9 S8 S7 DA DK DT D8 D7]    ,[C7 HT],Null,1.0,4,2,0,0,0,0,0,0
 [CA CK CQ CT C7 S7 H8 DQ D9 D7]    ,[SA ST],Null,0.55,1,0,4,1,2,0,1,1
 [SA SK SJ S9 S8 HQ H7 DK DT D9]    ,[CT C9],Null,0.05,1,1,5,0,0,1,1,3
 [CQ CJ CT C7 S8 S7 H7 DK DQ D9]    ,[HQ HT],Null,0.05,2,0,4,0,1,0,0,3
 [C9 SJ S8 HA HQ H8 H7 DK DQ D7]    ,[CK DJ],Null,0.1,0,0,7,0,1,2,2,2
 [CT C7 SQ HT H9 DK DQ DJ D8 D7]    ,[SK ST],Null,0.05,1,0,4,0,1,1,2,0
 [CJ CT SQ ST S9 S8 HJ H8 DK DT]    ,[C8 H9],Null,0.05,0,0,7,0,2,1,2,2
 [C9 S9 HK HJ HT H7 DQ DJ D8 D7]    ,[SQ ST],Null,0.3,1,0,3,0,1,1,1,0
 [CA CK CQ C9 ST S9 HT H7 DQ D8]    ,[SK DJ],Null,0.05,0,0,9,0,4,2,1,2
 [CA CK CT C9 C8 HJ HT H7 D9 D7]    ,[SK S7],Null,0.35,2,1,2,0,1,0,1,0
 [C7 SQ ST S7 HQ H7 DQ DT D9 D7]    ,[CK CQ],Null,0.1,2,0,3,0,0,2,1,0
 [CQ CJ CT C9 C7 ST S7 H8 D9 D7]    ,[SA HT],Null,0.85,2,0,2,1,0,1,1,0
 [ST S7 HJ HT H9 H8 DA DK D9 D8]    ,[CQ C9],Null,0.15,1,1,5,0,0,1,1,3
 [C8 C7 S8 HT H9 H7 DK DQ DJ D8]    ,[SQ DT],Null,0.1,2,0,3,1,0,1,0,2
 [C9 SQ S9 S8 S7 HT H9 DA D9 D8]    ,[HK DQ],Null,0.1,1,0,5,0,1,0,2,2
 [CA C8 C7 SK SQ ST S9 HQ H9 H8]    ,[C9 DA],Null,0.05,1,1,6,0,1,3,2,0
 [SK SQ S9 S7 HJ H8 DK DQ DT D8]    ,[CT C9],Null,0.25,1,1,6,0,0,1,2,3
 [CT C7 SA SK SQ S8 S7 H8 H7 D7]    ,[CJ DQ],Null,0.7,2,0,2,0,1,1,0,0
 [CK CT C8 SA ST S9 S8 DQ DJ D8]    ,[HK H9],Null,0.05,1,1,8,0,3,2,0,3
 [CK CT C7 S9 HT H8 DK DJ DT D7]    ,[SK HA],Null,0.1,0,0,6,0,2,1,2,1
 [C8 C7 SQ SJ ST S8 H8 DQ D9 D8]    ,[CQ HJ],Null,0.05,1,0,5,1,0,2,1,2
 [SJ S9 S8 HQ HT H7 DQ DJ DT D8]    ,[CQ S7],Null,0.1,2,1,4,0,0,0,2,2
 [CA CK C9 C8 SK ST S7 DK DT D9]    ,[CJ HQ],Null,0.1,1,1,7,0,2,2,0,3
 [CQ C8 SQ SJ ST S9 S8 H7 DT D9]    ,[HK HJ],Null,0.05,1,0,5,0,2,1,0,2
 [CK CJ C7 HA H9 H8 H7 DJ D9 D8]    ,[SQ DT],Null,0.05,1,1,4,0,2,0,1,1
 [C9 SA SK SJ S8 HK HT DJ DT D9]    ,[CT S7],Null,0.05,0,0,7,0,1,2,2,2
 [CT SA SQ S9 S8 S7 H7 DJ D8 D7]    ,[CK HQ],Null,0.35,3,0,1,0,1,0,0,0
 [CJ CT C9 C7 S8 HQ HJ H9 H7 D7]    ,[SA DA],Null,1.0,3,0,1,1,0,1,0,0
 [CA CK CQ C9 C8 S7 DA DQ DT D8]    ,[SQ ST],Null,0.1,2,1,6,0,2,0,0,4
 [CJ C8 S9 S7 HK HT H9 H7 D9 D7]    ,[CK DA],Null,0.35,3,0,2,0,2,0,0,0
 [CA CQ C9 C7 S9 S7 HK HQ DQ D9]    ,[H8 DK],Null,0.05,1,0,6,0,2,0,2,2
 [CQ CJ C9 C8 C7 S9 S8 H8 H7 DT]    ,[DA DK],Null,0.2,2,0,2,0,0,1,0,1
 [CJ C9 C8 C7 SJ S7 H8 DQ D8 D7]    ,[HA HQ],Null,0.45,1,0,3,1,0,1,1,1
 [C8 SK SQ S8 HA HK HT H9 D8 D7]    ,[SJ DJ],Null,0.05,1,0,8,1,1,3,4,0
 [CT C9 SQ S9 HA HK HT H7 D9 D8]    ,[C8 DA],Null,0.05,0,0,7,0,1,2,3,1
 [CA CK C9 C7 S9 HQ HT H7 D8 D7]    ,[SJ DA],Null,0.15,1,0,5,0,2,1,2,0
 [S9 S8 HK HQ HJ H9 H7 D9 D8 D7]    ,[CJ CT],Null,0.55,3,1,1,0,0,1,0,0
 [CT C9 C8 C7 ST S8 DQ DJ DT D8]    ,[HJ HT],Null,0.15,2,1,4,0,0,2,0,2
 [CQ C7 SK S9 HT DA DK DQ D9 D8]    ,[HA H9],Null,0.05,0,0,6,0,1,2,1,2
 [CJ C8 ST S8 HQ H9 DA D9 D8 D7]    ,[C9 HJ],Null,0.2,0,0,7,0,2,2,2,1
 [C7 S8 S7 H9 H8 DA DJ D9 D8 D7]    ,[CA HQ],Null,0.45,3,0,1,0,0,0,1,0
 [CQ C8 C7 S7 H9 DK DQ D9 D8 D7]    ,[SA SQ],Null,0.3,2,0,2,0,1,0,1,0
 [C8 SQ SJ S9 S7 DA DT D9 D8 D7]    ,[CK H9],Null,1.0,3,1,1,1,1,0,0,0
 [CA CJ C9 C8 C7 S7 H8 DJ D9 D7]    ,[SK SJ],Null,1.0,3,0,1,1,0,0,1,0
 [C9 C8 HA HK HQ H8 H7 DQ D8 D7]    ,[SA ST],Null,0.4,1,1,3,0,1,0,1,1
 [CQ CJ C8 C7 SQ S7 DJ D9 D8 D7]    ,[SA HQ],Null,0.1,3,1,1,0,0,1,0,0
 [SA SQ S9 S7 HA HK HJ H9 H7 D7]    ,[SJ DT],Null,1.0,4,1,0,0,0,0,0,0
 [CK CQ C9 C8 HA HQ HJ H9 H7 DT]    ,[DQ D9],Null,0.25,2,1,3,0,2,0,0,1
 [CT C8 SK ST HA HT H9 DT D9 D7]    ,[CJ S7],Null,0.05,1,0,7,0,2,2,3,0
 [CT C8 SK SJ ST S7 H8 H7 DT D9]    ,[C9 HK],Null,0.15,1,0,4,0,1,1,0,2
 [C7 SQ ST S9 S7 HA H9 H8 H7 D9]    ,[CA DA],Null,0.4,2,0,2,0,0,0,1,1
 [CK CT C8 SK ST HA HT H9 H7 D9]    ,[HJ DK],Null,0.05,1,0,6,0,3,2,0,1
 [CT SA SJ S9 S8 HT H8 DT D9 D7]    ,[CK CQ],Null,0.05,1,0,5,0,1,2,2,0
 [C7 SQ ST S7 HT H9 DK DQ DJ D7]    ,[S9 H8],Null,0.25,2,0,3,0,0,0,1,2
 [C9 C8 SA SK SQ ST H9 H7 DT D8]    ,[HQ HT],Null,0.05,1,0,7,0,1,4,0,2
 [C8 C7 SQ SJ ST S8 S7 DJ D9 D7]    ,[HQ H9],Null,1.0,4,1,0,0,0,0,0,0
 [CT SA SK ST S8 HJ H8 DK DQ D9]    ,[C7 DT],Null,0.1,0,0,10,0,1,4,2,3
 [C9 S8 S7 HK HQ HJ HT H7 D9 D8]    ,[CA CK],Null,0.15,1,0,3,0,1,0,1,1
 [SJ S8 HQ HT H7 DA DK DQ DT D7]    ,[CQ ST],Null,0.15,1,1,6,0,0,2,2,2
 [CA CK CJ C8 C7 S8 H9 H7 D9 D8]    ,[SQ HQ],Null,0.65,2,0,2,1,0,1,0,1
 [CQ C8 C7 S8 HK H9 H8 H7 DQ D7]    ,[DJ DT],Null,0.55,1,0,3,1,1,1,0,1
 [CK C9 SK SJ S9 S8 S7 HK H8 DT]    ,[CQ HQ],Null,0.05,1,0,5,0,2,0,2,1
 [CK CQ CJ C7 SQ ST S8 HA H9 H8]    ,[HT DT],Null,0.1,1,1,7,0,2,3,2,0
 [C7 SJ ST S9 S8 S7 H8 DK DT D8]    ,[CK HK],Null,0.1,2,0,4,1,0,0,1,3
 [C7 SK ST S7 HK H9 H7 DQ DT D8]    ,[CQ SA],Null,0.05,1,0,6,0,0,2,1,3
 [CK C9 C8 C7 SK S7 H9 H7 DK D9]    ,[SJ HK],Null,0.05,2,0,3,0,0,1,0,2
 [CK CQ CJ C9 C7 HK HT H9 H7 D8]    ,[ST DT],Null,1.0,3,1,1,1,0,0,0,1
 [CA CJ C9 C8 C7 S9 H8 DQ D9 D8]    ,[SQ HA],Null,0.15,1,0,4,1,0,1,1,2
 [CT SK ST S9 HT H9 H7 DT D9 D8]    ,[CA HA],Null,0.05,1,0,5,0,1,3,0,1
 [CQ CT C8 C7 HK HT DJ DT D8 D7]    ,[CK SQ],Null,0.15,3,1,2,0,0,0,2,0
