Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,BlankTens,MaxSuitLen,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb,PlayedCards,DiscardedCards,PostJacksMask,PostTrumpCount,PostAces,PostTens,PostAttachedTens,PostTenKingSmall,PostSkatFulls
[CT C9 C8 S8 HK H7 DA DT DK D7],-,3,1,1,1,0,4,1,0,[CQ C7],3,0.0000,[CT C9 C8 S8 HK H7 DA DT DK D7],,-,-,-,-,-,-,-
[CA CK C7 SK S8 S7 HT HK H7 D8],-,3,0,1,0,0,3,1,0,[S9 HA],11,0.0000,[CA CK C7 SK S8 S7 HT HK H7 D8],,-,-,-,-,-,-,-
[DJ CA C7 HA H8 DA DT DQ D9 D8],D,3,2,1,1,0,5,0,0,[HQ H7],3,0.0000,[DJ CA C7 HA H8 DA DT DQ D9 D8],,-,-,-,-,-,-,-
[DJ CQ SA ST SK S9 HA H8 DA D9],D,2,3,1,1,0,4,1,0,[HJ HT],12,0.0000,[DJ CQ SA ST SK S9 HA H8 DA D9],,-,-,-,-,-,-,-
[CJ DJ CK C7 SA SK SQ S7 DA D8],CD,4,2,0,0,0,4,0,0,[SJ D9],2,0.1000,[CJ DJ CK C7 SA SK SQ S7 DA D8],,-,-,-,-,-,-,-
[CJ SJ CA CK C9 SA S8 H9 H8 D7],CS,5,1,0,0,0,3,0,0,[S9 DQ],3,0.0500,[CJ SJ CA CK C9 SA S8 H9 H8 D7],,-,-,-,-,-,-,-
[HJ CA C8 C7 SA S9 DA DK DQ D7],H,4,2,0,0,0,4,0,0,[DJ SK],6,0.0000,[HJ CA C8 C7 SA S9 DA DK DQ D7],,-,-,-,-,-,-,-
[SJ HJ DJ CQ C9 C7 SA S8 HK DQ],SHD,6,1,0,0,0,3,0,0,[CJ D9],2,0.1000,[SJ HJ DJ CQ C9 C7 SA S8 HK DQ],,-,-,-,-,-,-,-
[SJ CQ S7 HA HT HK H8 DK D9 D8],S,2,1,1,1,0,4,1,0,[C8 SK],4,0.0000,[SJ CQ S7 HA HT HK H8 DK D9 D8],,-,-,-,-,-,-,-
[HJ CA CQ C9 S9 HK H9 DA DT DQ],H,4,1,1,1,0,3,0,0,[CJ C8],2,0.0000,[HJ CA CQ C9 S9 HK H9 DA DT DQ],,-,-,-,-,-,-,-
[SJ CA CT C7 S8 HT H9 H7 D8 D7],S,4,0,1,0,0,3,0,0,[CK DA],15,0.0000,[SJ CA CT C7 S8 HT H9 H7 D8 D7],,-,-,-,-,-,-,-
[CJ C8 HA HT H9 H7 DA DK DQ D9],C,2,2,1,1,0,4,0,0,[DJ S7],2,0.0000,[CJ C8 HA HT H9 H7 DA DK DQ D9],,-,-,-,-,-,-,-
[HJ CA SA ST SQ HK HQ H9 DT D9],H,2,1,2,1,0,3,0,0,[SJ SK],6,0.0000,[HJ CA SA ST SQ HK HQ H9 DT D9],,-,-,-,-,-,-,-
[CA CK CQ SQ HT H9 H8 H7 DK DQ],-,3,0,1,0,0,4,0,0,[HJ D7],2,0.0000,[CA CK CQ SQ HT H9 H8 H7 DK DQ],,-,-,-,-,-,-,-
[CJ CK CQ C9 C8 SK H8 DT D9 D8],C,5,0,1,0,0,4,0,0,[H9 DK],4,0.0000,[CJ CK CQ C9 C8 SK H8 DT D9 D8],,-,-,-,-,-,-,-
[CA CQ C8 SK S9 HA HT HK H7 D8],-,3,1,1,1,0,4,1,0,[DJ S7],2,0.0000,[CA CQ C8 SK S9 HA HT HK H7 D8],,-,-,-,-,-,-,-
[CJ HJ CT C7 ST SQ S9 HK DT DK],CH,4,0,2,0,0,3,0,0,[H8 D8],0,0.0000,[CJ HJ CT C7 ST SQ S9 HK DT DK],,-,-,-,-,-,-,-
[CT C8 SA SK HA HT HK HQ DA DK],-,2,3,1,1,0,4,0,0,[C7 S9],0,0.0000,[CT C8 SA SK HA HT HK HQ DA DK],,-,-,-,-,-,-,-
[CJ DJ CT CQ SA ST HK HQ DQ D9],CD,4,1,1,1,0,2,0,0,[S9 D7],0,0.0000,[CJ DJ CT CQ SA ST HK HQ DQ D9],,-,-,-,-,-,-,-
[CJ CT SA SK S9 HA HT HK H9 DK],C,2,2,1,1,0,4,1,0,[SJ ST],12,0.0500,[CJ CT SA SK S9 HA HT HK H9 DK],,-,-,-,-,-,-,-
[SJ DJ ST SK HQ H9 H8 DK D8 D7],SD,2,0,1,0,0,3,0,0,[HT H7],10,0.0000,[SJ DJ ST SK HQ H9 H8 DK D8 D7],,-,-,-,-,-,-,-
[CA C7 SA SQ S7 HK H9 H8 DT D9],-,2,1,1,0,0,3,0,0,[DJ CK],6,0.0000,[CA C7 SA SQ S7 HK H9 H8 DT D9],,-,-,-,-,-,-,-
[DJ C9 ST SK S8 HA HT H9 H7 D9],D,2,1,2,1,0,4,1,0,[CA C7],11,0.0000,[DJ C9 ST SK S8 HA HT H9 H7 D9],,-,-,-,-,-,-,-
[HJ DJ CA SA ST S9 S8 HK DT D8],HD,3,1,2,1,0,4,0,0,[C9 C7],0,0.0000,[HJ DJ CA SA ST S9 S8 HK DT D8],,-,-,-,-,-,-,-
[SJ DJ C8 C7 HA HQ DK D9 D8 D7],SD,4,1,0,0,0,4,0,0,[S9 HT],10,0.0000,[SJ DJ C8 C7 HA HQ DK D9 D8 D7],,-,-,-,-,-,-,-
[CQ C9 ST S9 S7 HK HQ DK DQ D9],-,2,0,1,0,0,3,0,0,[CT C7],10,0.0000,[CQ C9 ST S9 S7 HK HQ DK DQ D9],,-,-,-,-,-,-,-
[DJ C8 C7 SA S8 HA HQ DT DQ D8],D,3,2,1,0,0,3,0,0,[ST SK],14,0.0000,[DJ C8 C7 SA S8 HA HQ DT DQ D8],,-,-,-,-,-,-,-
[CA CK CQ SA SK H8 DA DT DK D8],-,3,2,1,1,0,4,1,0,[DJ DQ],5,0.0000,[CA CK CQ SA SK H8 DA DT DK D8],,-,-,-,-,-,-,-
[DJ CQ C7 S9 S7 H9 H7 DA DK D7],D,3,1,0,0,0,3,0,0,[SJ HK],6,0.0000,[DJ CQ C7 S9 S7 H9 H7 DA DK D7],,-,-,-,-,-,-,-
[HJ CA CQ C7 S9 S7 HQ DQ D9 D8],H,4,0,0,0,0,3,0,0,[H9 DK],4,0.0000,[HJ CA CQ C7 S9 S7 HQ DQ D9 D8],,-,-,-,-,-,-,-
[DJ CK ST SK SQ S7 HA HK H7 DQ],D,2,1,1,0,0,4,1,0,[S9 D7],0,0.0000,[DJ CK ST SK SQ S7 HA HK H7 DQ],,-,-,-,-,-,-,-
[HJ DJ CQ C8 C7 ST SK HA H9 H8],HD,5,1,1,0,0,3,0,0,[CK D7],4,0.0000,[HJ DJ CQ C8 C7 ST SK HA H9 H8],,-,-,-,-,-,-,-
[CQ C9 C8 HK H9 H7 DK D9 D8 D7],-,3,0,0,0,0,4,0,0,[SA SK],15,0.0000,[CQ C9 C8 HK H9 H7 DK D9 D8 D7],,-,-,-,-,-,-,-
[CA CK CQ SA ST S7 HK HQ DK DQ],-,3,1,1,1,0,3,0,0,[S9 D8],0,0.0000,[CA CK CQ SA ST S7 HK HQ DK DQ],,-,-,-,-,-,-,-
[SJ HJ CA CQ C8 ST S9 HA HQ DT],SH,5,1,2,0,1,3,0,0,[H8 D9],0,0.0000,[SJ HJ CA CQ C8 ST S9 HA HQ DT],,-,-,-,-,-,-,-
[CT CQ C8 ST SK HK H8 DQ D8 D7],-,3,0,1,0,0,3,0,0,[DJ S9],2,0.0000,[CT CQ C8 ST SK HK H8 DQ D8 D7],,-,-,-,-,-,-,-
[SJ HJ DJ CT CQ C8 ST S7 HK D9],SHD,6,0,1,0,0,3,0,0,[SQ S8],3,0.0000,[SJ HJ DJ CT CQ C8 ST S7 HK D9],,-,-,-,-,-,-,-
[CJ CA CK CQ C7 ST S9 HQ D9 D8],C,5,0,1,0,0,4,0,0,[DQ D7],3,0.0000,[CJ CA CK CQ C7 ST S9 HQ D9 D8],,-,-,-,-,-,-,-
[CJ SJ HJ DJ SK HA DA DT DK DQ],CSHD,4,2,1,1,0,4,0,0,[CQ HK],7,0.9000,[CJ SJ HJ DJ SK HA DA DT DK DQ],,-,-,-,-,-,-,-
[CJ DJ CQ S9 HK HQ H7 D9 D8 D7],CD,3,0,0,0,0,3,0,0,[CA H9],11,0.0000,[CJ DJ CQ S9 HK HQ H7 D9 D8 D7],,-,-,-,-,-,-,-
[HJ CQ C9 SK S8 S7 H7 DK DQ D7],H,3,0,0,0,0,3,0,0,[HK DA],15,0.0000,[HJ CQ C9 SK S8 S7 H7 DK DQ D7],,-,-,-,-,-,-,-
[DJ C9 C7 S8 HA H9 DT DK D9 D8],D,3,1,1,0,0,4,1,0,[CJ SK],6,0.0000,[DJ C9 C7 S8 HA H9 DT DK D9 D8],,-,-,-,-,-,-,-
[CT CQ C8 ST SK S9 H9 DA DT DQ],-,3,1,2,1,0,3,1,0,[CJ HJ],4,0.0000,[CT CQ C8 ST SK S9 H9 DA DT DQ],,-,-,-,-,-,-,-
[SJ SA S8 HK H9 DA DK DQ D8 D7],S,1,2,0,0,0,5,0,0,[CJ H8],2,0.0000,[SJ SA S8 HK H9 DA DK DQ D8 D7],,-,-,-,-,-,-,-
[CT CK C8 SK HT HK H9 H7 DK DQ],-,3,0,1,0,0,4,1,0,[CA HA],22,0.0000,[CT CK C8 SK HT HK H9 H7 DK DQ],,-,-,-,-,-,-,-
[CJ CK C8 ST HA HT H9 H8 DQ D9],C,3,1,2,1,1,4,0,0,[CT H7],10,0.0000,[CJ CK C8 ST HA HT H9 H8 DQ D9],,-,-,-,-,-,-,-
[SJ C8 C7 ST HA HK DA DQ D9 D8],S,3,2,1,0,1,4,0,0,[SK DK],8,0.0000,[SJ C8 C7 ST HA HK DA DQ D9 D8],,-,-,-,-,-,-,-
[DJ CT C7 SA SK S8 HA H8 DA D7],D,3,3,0,0,0,3,0,0,[SQ D8],3,0.0000,[DJ CT C7 SA SK S8 HA H8 DA D7],,-,-,-,-,-,-,-
[CJ SJ C8 ST SK HA HT HK DK D9],CS,3,1,2,1,0,3,0,0,[DJ H7],2,0.0000,[CJ SJ C8 ST SK HA HT HK DK D9],,-,-,-,-,-,-,-
[CT C9 C7 S7 HA HT HK H9 H7 D7],-,3,1,1,1,0,5,1,0,[HJ C8],2,0.0000,[CT C9 C7 S7 HA HT HK H9 H7 D7],,-,-,-,-,-,-,-
[CJ CA C9 SA SK S7 HK H9 DK D8],C,3,1,0,0,0,3,0,0,[S8 DT],10,0.0000,[CJ CA C9 SA SK S7 HK H9 DK D8],,-,-,-,-,-,-,-
[SJ CA CT C7 HT H9 DA DT D8 D7],S,4,1,2,1,0,4,0,0,[S9 H8],0,0.0000,[SJ CA CT C7 HT H9 DA DT D8 D7],,-,-,-,-,-,-,-
[CA CT CK C9 C8 C7 S9 H7 DK D8],-,6,0,0,0,0,6,0,0,[S7 DT],10,0.0000,[CA CT CK C9 C8 C7 S9 H7 DK D8],,-,-,-,-,-,-,-
[CJ DJ CQ ST SK S9 HA HK H8 DQ],CD,3,1,1,0,0,3,1,0,[SA D9],11,0.0000,[CJ DJ CQ ST SK S9 HA HK H8 DQ],,-,-,-,-,-,-,-
[DJ CQ SA ST SQ S9 S8 H8 DA D7],D,2,2,1,1,0,5,0,0,[H7 DT],10,0.0000,[DJ CQ SA ST SQ S9 S8 H8 DA D7],,-,-,-,-,-,-,-
[DJ C8 SA ST SQ S8 HA HT DK DQ],D,2,2,2,2,0,4,0,0,[HJ DT],12,0.0000,[DJ C8 SA ST SQ S8 HA HT DK DQ],,-,-,-,-,-,-,-
[C9 C7 SA S7 H9 H7 DT DQ D9 D8],-,2,1,1,0,0,4,0,0,[SK SQ],7,0.0000,[C9 C7 SA S7 H9 H7 DT DQ D9 D8],,-,-,-,-,-,-,-
[HJ CT C9 ST SQ S9 S7 HQ H9 H7],H,3,0,1,0,0,4,0,0,[SJ HK],6,0.0000,[HJ CT C9 ST SQ S9 S7 HQ H9 H7],,-,-,-,-,-,-,-
[SJ CK CQ C9 ST SQ H7 DT D8 D7],S,4,0,2,0,0,3,0,0,[SK DA],15,0.0000,[SJ CK CQ C9 ST SQ H7 DT D8 D7],,-,-,-,-,-,-,-
[CJ HJ CA CQ C7 S9 HT H8 H7 DT],CH,5,0,2,0,1,3,0,0,[S7 D9],0,0.0000,[CJ HJ CA CQ C7 S9 HT H8 H7 DT],,-,-,-,-,-,-,-
[CA CT CK C7 SQ HQ H9 DQ D9 D8],-,4,0,0,0,0,4,0,0,[CQ DK],7,0.0000,[CA CT CK C7 SQ HQ H9 DQ D9 D8],,-,-,-,-,-,-,-
[CK ST S8 HT HQ H9 H8 DT DQ D9],-,1,0,3,0,0,4,0,0,[SA DA],22,0.0000,[CK ST S8 HT HQ H9 H8 DT DQ D9],,-,-,-,-,-,-,-
[CJ S8 HA HT H9 H8 DK DQ D9 D7],C,1,1,1,1,0,4,0,0,[CT D8],10,0.0000,[CJ S8 HA HT H9 H8 DK DQ D9 D7],,-,-,-,-,-,-,-
[SJ HJ CT CK C7 ST S9 HK H7 DA],SH,5,1,1,0,0,3,0,0,[HQ H9],3,0.0000,[SJ HJ CT CK C7 ST S9 HK H7 DA],,-,-,-,-,-,-,-
[CJ SJ DJ CK CQ C9 SK H8 H7 DT],CSD,6,0,1,0,1,3,0,0,[DQ D7],3,0.0000,[CJ SJ DJ CK CQ C9 SK H8 H7 DT],,-,-,-,-,-,-,-
[SJ DJ CA CT C7 SA HT H9 DQ D7],SD,5,1,1,0,0,3,0,0,[SK DK],8,0.0000,[SJ DJ CA CT C7 SA HT H9 DQ D7],,-,-,-,-,-,-,-
[CJ HJ CA C9 SQ S9 HA H8 DT DK],CH,4,1,1,0,0,2,0,0,[CT DA],21,0.0000,[CJ HJ CA C9 SQ S9 HA H8 DT DK],,-,-,-,-,-,-,-
[SJ CA S9 S8 HT HK H9 DA D8 D7],S,2,1,1,0,0,3,1,0,[HJ SK],6,0.0000,[SJ CA S9 S8 HT HK H9 DA D8 D7],,-,-,-,-,-,-,-
[CJ HJ DJ CT SK SQ S7 HA HQ DA],CHD,4,2,0,0,0,3,0,0,[C8 H7],0,0.1500,[CJ HJ DJ CT SK SQ S7 HA HQ DA],,-,-,-,-,-,-,-
[CJ SJ HJ CA CT SA ST HK DA D9],CSH,5,2,1,1,0,2,0,0,[DJ SQ],5,1.0000,[CJ SJ HJ CA CT SA ST HK DA D9],,-,-,-,-,-,-,-
[SJ CA CK C9 SK S8 H8 H7 DA D7],S,4,1,0,0,0,3,0,0,[C7 D9],0,0.0000,[SJ CA CK C9 SK S8 H8 H7 DA D7],,-,-,-,-,-,-,-
[CJ DJ CA SA S8 HA H8 H7 DA DK],CD,3,3,0,0,0,3,0,0,[CK D7],4,0.4000,[CJ DJ CA SA S8 HA H8 H7 DA DK],,-,-,-,-,-,-,-
[HJ DJ CK S8 S7 H9 H8 H7 DK D8],HD,3,0,0,0,0,3,0,0,[SA D9],11,0.0000,[HJ DJ CK S8 S7 H9 H8 H7 DK D8],,-,-,-,-,-,-,-
[HJ CT C8 C7 SA HK HQ DT D9 D7],H,4,1,1,0,0,3,0,0,[DJ DQ],5,0.0000,[HJ CT C8 C7 SA HK HQ DT D9 D7],,-,-,-,-,-,-,-
[CJ SJ HJ CQ SA HA HK H8 DK D9],CSH,4,2,0,0,0,3,0,0,[S8 H7],0,0.5000,[CJ SJ HJ CQ SA HA HK H8 DK D9],,-,-,-,-,-,-,-
[SJ DJ CK C9 C8 SK S8 DT D8 D7],SD,5,0,1,0,0,3,0,0,[HT D9],10,0.0000,[SJ DJ CK C9 C8 SK S8 DT D8 D7],,-,-,-,-,-,-,-
[CJ HJ CT C9 C7 SQ S7 HA HK DK],CH,5,1,0,0,0,3,0,0,[S9 H8],0,0.0000,[CJ HJ CT C9 C7 SQ S7 HA HK DK],,-,-,-,-,-,-,-
[HJ DJ CA CT CQ C8 SA HT H8 DQ],HD,6,1,1,0,0,4,0,0,[SK SQ],7,0.1000,[HJ DJ CA CT CQ C8 SA HT H8 DQ],,-,-,-,-,-,-,-
[HJ DJ C8 SA SK SQ S8 HA DA DK],HD,3,3,0,0,0,4,0,0,[C7 S9],0,0.0500,[HJ DJ C8 SA SK SQ S8 HA DA DK],,-,-,-,-,-,-,-
[CA C8 C7 S9 HK HQ H9 H7 DA DQ],-,3,1,0,0,0,4,0,0,[S7 DT],10,0.0000,[CA C8 C7 S9 HK HQ H9 H7 DA DQ],,-,-,-,-,-,-,-
[DJ CA CT C7 S9 S7 HK HQ H9 DQ],D,4,0,0,0,0,3,0,0,[HA D9],11,0.0000,[DJ CA CT C7 S9 S7 HK HQ H9 DQ],,-,-,-,-,-,-,-
[SJ HJ CQ C8 C7 SQ H7 DA DK D8],SH,5,1,0,0,0,3,0,0,[CK SK],8,0.0500,[SJ HJ CQ C8 C7 SQ H7 DA DK D8],,-,-,-,-,-,-,-
[CJ DJ C9 C7 SA HK DA DT D9 D8],CD,4,2,1,1,0,4,0,0,[C8 DQ],3,0.1500,[CJ DJ C9 C7 SA HK DA DT D9 D8],,-,-,-,-,-,-,-
[DJ CQ C9 SA ST S7 HA HK H8 H7],D,3,2,1,1,0,4,0,0,[SJ DK],6,0.0000,[DJ CQ C9 SA ST S7 HA HK H8 H7],,-,-,-,-,-,-,-
[CK C7 SA ST SK HA DA DT DK D8],-,2,3,2,2,0,4,1,0,[CT C9],10,0.0000,[CK C7 SA ST SK HA DA DT DK D8],,-,-,-,-,-,-,-
[SJ HJ C8 SQ S8 HQ H9 H7 DA D7],SH,3,1,0,0,0,3,0,0,[CJ HA],13,0.0000,[SJ HJ C8 SQ S8 HQ H9 H7 DA D7],,-,-,-,-,-,-,-
[C9 C7 SK S9 S7 HK HQ DA D8 D7],-,2,1,0,0,0,3,0,0,[SJ H9],2,0.0000,[C9 C7 SK S9 S7 HK HQ DA D8 D7],,-,-,-,-,-,-,-
[SJ CA CK C9 ST S8 S7 H7 DK D8],S,4,0,1,0,0,3,0,0,[CT DQ],13,0.0000,[SJ CA CK C9 ST S8 S7 H7 DK D8],,-,-,-,-,-,-,-
[CT CK C8 C7 ST S8 S7 HK H8 D7],-,4,0,1,0,0,4,0,0,[HJ S9],2,0.0000,[CT CK C8 C7 ST S8 S7 HK H8 D7],,-,-,-,-,-,-,-
[HJ DJ CA C8 C7 HQ H8 DA DK D9],HD,5,1,0,0,0,3,0,0,[C9 S9],0,0.0500,[HJ DJ CA C8 C7 HQ H8 DA DK D9],,-,-,-,-,-,-,-
[SJ CT C8 SA S8 HT H8 H7 DT D9],S,3,1,2,0,0,3,0,0,[ST SQ],13,0.0000,[SJ CT C8 SA S8 HT H8 H7 DT D9],,-,-,-,-,-,-,-
[SJ HJ CA ST S9 HA HK H7 DK D9],SH,3,1,1,0,0,3,0,0,[D8 D7],0,0.0000,[SJ HJ CA ST S9 HA HK H7 DK D9],,-,-,-,-,-,-,-
[HJ CK CQ ST SK H7 DA DT DK D8],H,3,1,2,1,0,4,1,0,[C9 H9],0,0.0000,[HJ CK CQ ST SK H7 DA DT DK D8],,-,-,-,-,-,-,-
[SJ HJ CT C9 C8 C7 SK HQ DK D9],SH,6,0,0,0,0,4,0,0,[CQ H8],3,0.0000,[SJ HJ CT C9 C8 C7 SK HQ DK D9],,-,-,-,-,-,-,-
[C8 ST H8 H7 DA DT DQ D9 D8 D7],-,1,1,2,1,1,6,0,0,[CK CQ],7,0.0000,[C8 ST H8 H7 DA DT DQ D9 D8 D7],,-,-,-,-,-,-,-
[HJ DJ CT CQ C8 C7 HA HK H9 D9],HD,6,1,0,0,0,4,0,0,[SK HT],14,0.3000,[HJ DJ CT CQ C8 C7 HA HK H9 D9],,-,-,-,-,-,-,-
[HJ DJ CA C7 SQ S8 HT HQ H7 D7],HD,4,0,1,0,0,3,0,0,[CK H8],4,0.0000,[HJ DJ CA C7 SQ S8 HT HQ H7 D7],,-,-,-,-,-,-,-
[SJ CA C9 S7 HA HT H9 DQ D8 D7],S,3,1,1,1,0,3,0,0,[HJ H8],2,0.0000,[SJ CA C9 S7 HA HT H9 DQ D8 D7],,-,-,-,-,-,-,-
[SJ CA CK C8 ST SQ HK HQ DA DQ],S,4,1,1,0,0,3,0,0,[CT HA],21,0.0000,[SJ CA CK C8 ST SQ HK HQ DA DQ],,-,-,-,-,-,-,-
[CK CQ C7 S8 HA HT H8 DA D8 D7],-,3,2,1,1,0,3,0,0,[SJ S7],2,0.0000,[CK CQ C7 S8 HA HT H8 DA D8 D7],,-,-,-,-,-,-,-
[HJ CT C8 SA ST SQ S8 H9 DQ D7],H,3,1,1,1,0,4,0,0,[HA HQ],14,0.0000,[HJ CT C8 SA ST SQ S8 H9 DQ D7],,-,-,-,-,-,-,-
[SJ CA CT C9 ST SK HA DA DK D8],S,4,2,1,0,0,3,0,0,[S9 D7],0,0.0500,[SJ CA CT C9 ST SK HA DA DK D8],,-,-,-,-,-,-,-
[CJ SJ C9 C8 C7 ST HT HQ H7 D7],CS,5,0,2,0,1,3,0,0,[HK DA],15,0.0000,[CJ SJ C9 C8 C7 ST HT HQ H7 D7],,-,-,-,-,-,-,-
[CJ SA ST S8 HA HK HQ H9 D8 D7],C,1,2,1,1,0,4,0,0,[CA C7],11,0.0000,[CJ SA ST S8 HA HK HQ H9 D8 D7],,-,-,-,-,-,-,-
[CT C9 C7 SA ST H8 DK DQ D9 D8],-,3,1,1,1,0,4,0,0,[H9 H7],0,0.0000,[CT C9 C7 SA ST H8 DK DQ D9 D8],,-,-,-,-,-,-,-
[CJ DJ CK C9 C8 SK H9 DK D9 D8],CD,5,0,0,0,0,3,0,0,[SJ S9],2,0.0000,[CJ DJ CK C9 C8 SK H9 DK D9 D8],,-,-,-,-,-,-,-
[CJ SJ CA CK ST S9 HK H8 DT D9],CS,4,0,2,0,0,2,0,0,[S7 DA],11,0.0000,[CJ SJ CA CK ST S9 HK H8 DT D9],,-,-,-,-,-,-,-
[CT C7 ST SQ S8 S7 H9 H7 DQ D7],-,2,0,1,0,0,4,0,0,[HJ CQ],5,0.0000,[CT C7 ST SQ S8 S7 H9 H7 DQ D7],,-,-,-,-,-,-,-
[DJ CA CK C9 SA S9 HK H8 DA DT],D,4,2,1,1,0,3,0,0,[S7 D7],0,0.0000,[DJ CA CK C9 SA S9 HK H8 DA DT],,-,-,-,-,-,-,-
[CA CQ C8 HA HQ H8 DA D9 D8 D7],-,3,2,0,0,0,4,0,0,[CJ H9],2,0.0000,[CA CQ C8 HA HQ H8 DA D9 D8 D7],,-,-,-,-,-,-,-
[CJ SJ C8 ST S9 S8 HA H8 DA DT],CS,3,2,2,1,0,3,0,0,[CA C7],11,0.2000,[CJ SJ C8 ST S9 S8 HA H8 DA DT],,-,-,-,-,-,-,-
[DJ CA CT SK SQ S9 S8 HA DK D8],D,3,1,0,0,0,4,0,0,[HT HQ],13,0.0000,[DJ CA CT SK SQ S9 S8 HA DK D8],,-,-,-,-,-,-,-
[CJ DJ C8 ST S9 S7 HA HT HK DA],CD,3,2,2,1,0,3,0,0,[CK H8],4,0.0000,[CJ DJ C8 ST S9 S7 HA HT HK DA],,-,-,-,-,-,-,-
[DJ CK C9 C7 SA SK HT HK H9 H7],D,4,1,1,0,0,4,1,0,[S9 DK],4,0.0000,[DJ CK C9 C7 SA SK HT HK H9 H7],,-,-,-,-,-,-,-
[HJ CQ C7 SA SK HT H8 DA DQ D9],H,3,2,1,0,0,3,0,0,[HK HQ],7,0.0000,[HJ CQ C7 SA SK HT H8 DA DQ D9],,-,-,-,-,-,-,-
[SJ CT CK C8 H9 H7 DK DQ D9 D7],S,4,0,0,0,0,4,0,0,[S7 HQ],3,0.0000,[SJ CT CK C8 H9 H7 DK DQ D9 D7],,-,-,-,-,-,-,-
[CA CT C9 C8 C7 SK SQ S9 S7 DT],-,5,0,1,0,1,5,0,0,[CK DA],15,0.0000,[CA CT C9 C8 C7 SK SQ S9 S7 DT],,-,-,-,-,-,-,-
[SJ C9 C8 ST SQ S8 HQ DK D8 D7],S,3,0,1,0,0,3,0,0,[C7 H7],0,0.0000,[SJ C9 C8 ST SQ S8 HQ DK D8 D7],,-,-,-,-,-,-,-
[CK C9 SK S7 HA HQ H7 DA DT D7],-,2,2,1,1,0,3,0,0,[HJ D9],2,0.0000,[CK C9 SK S7 HA HQ H7 DA DT D7],,-,-,-,-,-,-,-
[CQ C7 SQ S8 S7 HA HT H9 H8 H7],-,2,1,1,1,0,5,0,0,[CT C8],10,0.0000,[CQ C7 SQ S8 S7 HA HT H9 H8 H7],,-,-,-,-,-,-,-
[HJ C7 SK SQ S9 HA HK HQ H9 DA],H,2,2,0,0,0,4,0,0,[CK D9],4,0.0000,[HJ C7 SK SQ S9 HA HK HQ H9 DA],,-,-,-,-,-,-,-
[HJ CT CK CQ ST S8 HA HT HQ DT],H,4,1,3,1,1,3,0,0,[DJ H9],2,0.0000,[HJ CT CK CQ ST S8 HA HT HQ DT],,-,-,-,-,-,-,-
[SJ DJ ST SQ S8 HA HT DK D9 D7],SD,2,1,2,1,0,3,0,0,[S9 H9],0,0.0000,[SJ DJ ST SQ S8 HA HT DK D9 D7],,-,-,-,-,-,-,-
[CJ SJ HJ CA CQ C8 C7 SA DK D7],CSH,7,1,0,0,0,4,0,0,[HQ H7],3,0.9500,[CJ SJ HJ CA CQ C8 C7 SA DK D7],,-,-,-,-,-,-,-
[CJ HJ DJ CA C8 C7 HA HQ DA D8],CHD,6,2,0,0,0,3,0,0,[SA D7],11,0.9000,[CJ HJ DJ CA C8 C7 HA HQ DA D8],,-,-,-,-,-,-,-
[SJ DJ CK C9 SQ HA HT DA DK D7],SD,4,2,1,1,0,3,0,0,[CA SK],15,0.1500,[SJ DJ CK C9 SQ HA HT DA DK D7],,-,-,-,-,-,-,-
[DJ C9 ST SK S9 HK H8 DQ D9 D7],D,2,0,1,0,0,3,1,0,[CA C8],11,0.0000,[DJ C9 ST SK S9 HK H8 DQ D9 D7],,-,-,-,-,-,-,-
[CJ SJ HJ CT CK HA H7 DA DT D8],CSH,5,2,1,1,0,3,0,0,[C9 S8],0,1.0000,[CJ SJ HJ CT CK HA H7 DA DT D8],,-,-,-,-,-,-,-
[CJ CQ C8 SQ S8 HA DT DK DQ D9],C,3,1,1,0,0,4,1,0,[C7 D8],0,0.0000,[CJ CQ C8 SQ S8 HA DT DK DQ D9],,-,-,-,-,-,-,-
[CJ SJ CQ SK S9 HA DT DK DQ D9],CS,3,1,1,0,0,4,1,0,[DJ CT],12,0.0000,[CJ SJ CQ SK S9 HA DT DK DQ D9],,-,-,-,-,-,-,-
[DJ CT CQ C9 C8 ST HA H9 H7 DT],D,5,1,2,0,2,4,0,0,[S9 S7],0,0.0000,[DJ CT CQ C9 C8 ST HA H9 H7 DT],,-,-,-,-,-,-,-
[HJ CK CQ SA S7 HT HQ D9 D8 D7],H,3,1,1,0,0,3,0,0,[SK H7],4,0.0000,[HJ CK CQ SA S7 HT HQ D9 D8 D7],,-,-,-,-,-,-,-
[DJ CK C9 SK HQ H9 DA DT DK D9],D,3,1,1,1,0,4,1,0,[SQ H8],3,0.0000,[DJ CK C9 SK HQ H9 DA DT DK D9],,-,-,-,-,-,-,-
[SJ DJ CK C8 SA SQ HK H9 H8 D7],SD,4,1,0,0,0,3,0,0,[CA DK],15,0.0000,[SJ DJ CK C8 SA SQ HK H9 H8 D7],,-,-,-,-,-,-,-
[CT C9 SK SQ S7 HA HT DA DT DQ],-,2,2,2,2,0,3,0,0,[DJ D8],2,0.0000,[CT C9 SK SQ S7 HA HT DA DT DQ],,-,-,-,-,-,-,-
