Cards,JacksMask,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,WinProb
[CJ HJ CT C9 C7 ST SQ S8 S7 H7],CH,0,2,0,1,0,0.0000
[CJ SJ CT C7 S8 HQ H9 DT DQ D9],CS,0,3,0,1,0,0.0000
[DJ C9 C8 H8 H7 DA DT DK DQ D8],D,1,1,1,1,0,0.0000
[CA CQ SA SK S9 HT H8 DQ D9 D8],-,1,1,0,0,1,0.0000
[SJ HJ CA CK C7 SK HQ H7 DA D9],SH,2,0,0,0,0,0.0500
[HJ DJ CA S9 S8 HT H8 DT D8 D7],HD,2,2,1,0,1,0.2100
[CJ DJ CT C9 C8 ST HA HK DK D7],CD,2,2,1,0,0,0.2100
[CJ HJ CT CQ C9 C8 C7 SA ST HT],CH,2,3,2,0,0,0.9900
[CJ C8 C7 SK SQ S9 S8 H9 DQ D9],C,0,0,0,0,0,0.0000
[SJ CA SA SK S8 HT H7 DA D8 D7],S,3,1,0,0,0,0.0300
[CA C9 C7 SK SQ S8 DA DT DK D7],-,1,1,1,1,1,0.0000
[CJ HJ DJ CA SA ST SK S7 DT D9],CHD,2,2,1,1,0,1.0000
[CK C8 SA ST S7 HA HT HK DA D9],-,3,3,2,1,0,0.2600
[CJ HJ CQ C8 C7 SA S9 HA H8 DT],CH,2,1,0,0,0,0.0000
[C8 SA SK SQ S8 HK H9 H8 DT D9],-,1,1,0,0,0,0.0000
[HJ CQ S9 S8 S7 HA H9 DK D9 D7],H,1,0,0,0,0,0.0000
[CJ C7 SA ST SQ H8 DA DK D9 D7],C,2,1,1,0,0,0.6500
[SJ ST SK SQ S7 HQ H9 DA DT DQ],S,2,2,1,1,0,0.9300
[HJ DJ SA S8 S7 HA DA DT DQ D7],HD,3,1,1,0,0,0.7500
[HJ C9 S8 S7 HK H9 H8 H7 DK D7],H,0,0,0,0,0,0.0000
[HJ DJ CT ST HK HQ DA DT DK DQ],HD,1,3,1,1,0,0.0000
[CJ HJ CA CQ ST S9 S7 HT H9 D9],CH,1,2,0,0,0,0.0000
[CA CK CQ SK S9 S7 HK H7 DK D8],-,0,0,0,0,1,0.0000
[CK C9 C7 SA ST SQ S8 S7 H8 DQ],-,1,1,1,0,0,0.0000
[HJ CA C8 C7 SQ HT HQ DQ D9 D8],H,1,1,0,0,0,0.0000
[CA CT CK C9 C7 SA S7 HK D9 D7],-,1,1,0,1,1,0.0000
[DJ CA SQ HA HT HQ H9 DQ D9 D8],D,1,2,1,0,1,0.0000
[HJ C8 C7 SA ST S9 S8 HT HK DT],H,1,3,1,1,0,0.0000
[CJ DJ CA S9 S7 HQ DT DK D9 D7],CD,1,1,0,1,0,0.0000
[CJ DJ CT C8 C7 S9 HA DT D9 D7],CD,1,2,0,0,0,0.0800
[SJ HJ DJ C7 SA SQ S7 H8 H7 DA],SHD,3,0,0,0,0,0.9600
[CT C9 C7 SA HA HQ H9 DT DK D9],-,2,2,1,1,1,0.0000
[SJ HJ CQ C8 SA SQ HT HK DA D7],SH,2,1,0,1,0,0.0000
[SJ C9 SK SQ HA HT H8 H7 DQ D9],S,1,2,1,0,0,0.0000
[HJ CT ST S8 HT H9 H7 DA DQ D7],H,1,3,1,0,1,0.0300
[CJ SJ HJ C9 SA SQ H8 DA DT D7],CSH,2,1,1,0,0,1.0000
[DJ CA C8 SA SK SQ S8 H7 DT D7],D,2,1,0,0,0,0.3000
[CT CK C9 C7 SA ST S7 HQ H8 DQ],-,1,1,1,0,1,0.0000
[HJ DJ SA SK S8 S7 HT HQ DK D7],HD,1,2,0,0,0,0.0000
[CJ SJ C9 C8 SA SK SQ HT HK D8],CS,1,1,0,1,0,0.1100
[SJ CT ST SK S9 HA HT HK DA DQ],S,2,2,1,2,1,0.0000
[CJ CT CQ C8 S7 H8 DT DK D9 D7],C,1,1,1,1,1,0.0000
[CJ CT C9 C7 SA ST SQ S7 H9 D8],C,1,1,1,0,1,0.0000
[CJ DJ CT C9 C8 C7 HT HQ DT D8],CD,0,3,0,1,0,0.0000
[DJ CK CQ S9 S8 S7 HK H9 H8 DK],D,0,1,0,1,0,0.0000
[CK CQ C8 C7 S9 HA HQ H9 H7 D7],-,1,0,0,0,0,0.0000
[CJ DJ C8 ST SK SQ S9 HK HQ H7],CD,1,0,0,0,1,0.2000
[CA C9 ST SK S8 HA HT HK DT D9],-,3,3,2,0,0,0.2500
[CQ C8 SA SK H9 H7 DA DT DQ D8],-,2,2,1,0,0,0.0000
[CT C8 C7 SQ S8 H9 H7 DA DT D9],-,1,1,1,0,1,0.0000
[HJ CT CK CQ SQ S7 H9 H7 DT DQ],H,0,2,0,1,0,0.0000
[HJ CT C8 SK S8 HT H7 DT DQ D7],H,0,3,0,0,0,0.0000
[DJ CA CT C9 S8 S7 DQ D9 D8 D7],D,0,1,0,0,1,0.0000
[CJ HJ DJ CT CK ST SK HQ DQ D9],CHD,0,2,0,2,0,0.1300
[CA C9 SA HT HQ H8 H7 DK DQ D7],-,1,1,0,1,1,0.0000
[DJ CT S7 HA HT HK H7 DA DT D7],D,2,2,2,1,1,0.0000
[CJ SJ CA CK C7 SQ S9 DT DK DQ],CS,1,2,1,1,0,0.4600
[CT CK CQ C8 SA SK SQ H8 DA D7],-,2,1,1,0,1,0.0000
[SJ HJ CK CQ ST HK HQ H8 DA DT],SH,1,2,1,0,0,0.0000
[CJ HJ CA CQ SQ S7 HA HT DT DQ],CH,2,2,1,0,0,0.2000
[CT CQ C8 SA ST HA HK DT DQ D8],-,3,3,2,0,0,0.0400
[HJ DJ CA C7 SK HA H8 DT DQ D7],HD,2,1,0,0,0,0.0000
[CJ C9 ST S7 HT HK HQ H8 DT DQ],C,0,3,0,1,1,0.0000
[CJ CQ C8 SQ HA H8 H7 DA DT D9],C,2,2,1,0,0,0.4100
[HJ CT CK C9 C7 SA ST SQ S9 HQ],H,2,1,1,0,1,0.0000
[SJ CQ C8 SA ST S9 HA HT H9 D8],S,3,2,2,0,0,0.2300
[CJ CT CK CQ C9 S8 H9 D9 D8 D7],C,0,1,0,1,1,0.0000
[SJ CT CK C7 SQ S9 S7 H7 DK D8],S,0,1,0,0,1,0.0000
[DJ CT C8 S7 HA DA DT DQ D9 D8],D,2,2,1,1,1,0.0000
[CJ CT C9 ST S9 HK H9 DK DQ D9],C,1,2,1,1,1,0.0000
[CJ CA CK C8 C7 ST SK DK DQ D9],C,0,3,0,1,1,0.0000
[CK C7 SA ST SQ S7 HQ H8 DA DQ],-,2,1,1,0,0,0.0000
[HJ CA CK SA SK S9 S8 HA HK D7],H,3,1,1,0,0,0.1000
[HJ CA CT CQ ST S8 HA HT HK D9],H,2,3,2,0,0,0.0000
[DJ SA ST SK HT H8 H7 DA DK D7],D,3,2,1,0,0,0.0600
[SJ DJ CQ C8 C7 SA S7 HT HQ D9],SD,3,1,1,0,0,0.7900
[CJ SJ HJ CA SK S9 S7 HT H7 DK],CSH,2,1,0,0,0,0.8600
[CA CK C7 SA SK HT HK DA DK DQ],-,3,1,0,0,0,0.4800
[HJ C7 ST SK HA H8 DT DK DQ D9],H,1,3,1,1,0,0.0000
[CT C9 ST S8 HT H9 H7 DQ D9 D8],-,0,2,0,1,1,0.0000
[CK CQ C7 SA S8 HK H7 DK D8 D7],-,1,0,0,0,1,0.0000
[CJ SJ C9 SA SQ S8 S7 HT HK DK],CS,1,1,0,1,0,0.0000
[HJ CT C9 C8 SA SQ S8 H8 H7 DK],H,1,0,0,0,1,0.0000
[CT CK C9 ST S8 HA DQ D9 D8 D7],-,1,1,0,0,1,0.0000
[CK C8 C7 ST SK S8 HK HQ H9 DK],-,0,1,0,1,1,0.0000
[CQ C7 SA HA HQ H9 H8 H7 D8 D7],-,2,0,0,0,0,0.0000
[CJ HJ DJ C9 C7 HA HK H7 DT D9],CHD,2,2,1,0,0,0.9800
[CJ HJ CA CT C8 C7 S7 HT HK DA],CH,3,2,2,0,0,1.0000
[SJ DJ CT C9 SK HA H9 H7 DA D8],SD,2,1,0,0,0,0.0000
[SJ CQ C9 ST HT H9 H8 H7 DK D8],S,0,3,0,1,0,0.0000
[DJ CA C9 C8 ST S9 HT H7 D9 D8],D,1,2,1,1,1,0.0000
[SJ CA CK C8 SQ S7 HA HT HQ DT],S,1,3,1,1,1,0.0000
[CJ SJ CK C9 HA HK H8 DA DK D7],CS,2,0,0,0,0,0.2100
[HJ DJ CQ SK S8 H9 H8 DK D9 D8],HD,1,0,0,0,0,0.0000
[CJ SJ DJ CT CQ ST SQ S7 H7 D8],CSD,0,2,0,0,0,0.0000
[HJ DJ CT ST SQ HT HK DA DT DK],HD,1,4,1,0,0,0.0000
[CA CK SK SQ HT HK DK DQ D8 D7],-,0,1,0,0,1,0.0000
[DJ C9 C8 C7 SA SQ S7 HA DK D8],D,2,1,1,0,0,0.3600
[HJ C7 SA SK S9 HA HK DA DT DK],H,3,1,1,0,0,0.9800
[HJ DJ CA SA ST HK HQ H7 DK D9],HD,2,1,1,0,0,0.0000
[DJ CA CK ST SK S9 HA H9 H7 D8],D,1,1,0,1,1,0.0000
[HJ CK C8 SQ HT HQ H8 DA DT D7],H,1,2,1,0,0,0.0000
[CJ CA CT CQ C9 SK HT H7 DQ D8],C,0,3,0,0,1,0.0000
[HJ CT CK C9 S8 HT HK H9 H7 D7],H,1,2,1,1,0,0.0100
[HJ CQ C8 C7 ST HT HK H7 DA D8],H,1,2,0,1,0,0.0000
[SJ CT CK CQ C7 S8 HK HQ DT D7],S,0,1,0,0,1,0.0000
[SJ CA CT C8 C7 S9 HQ DA DQ D9],S,1,2,0,0,1,0.0000
[CJ CT CQ SA S9 S8 HT HQ DQ D7],C,1,1,0,0,1,0.0000
[CJ DJ CA CT CQ SQ H8 DQ D9 D7],CD,1,2,1,0,0,0.0300
[C7 SA SK SQ S8 S7 H9 H8 DT D9],-,1,1,1,0,1,0.0000
[HJ DJ CT SA ST SK S7 HA DK D9],HD,2,1,1,1,1,0.6100
[SJ C9 C8 C7 ST S8 S7 HT HQ H8],S,1,2,0,0,0,0.0000
[CJ HJ CA CT CK SQ HK H8 DQ D7],CH,1,1,1,0,0,0.0000
[HJ CA CK C9 C8 SK S8 HT H7 DT],H,1,2,0,0,0,0.0000
[SJ CK C9 SA ST S9 HT HQ H9 DT],S,1,3,1,0,0,0.1000
[CJ DJ CK CQ S8 HT HK HQ DA DK],CD,1,1,0,0,0,0.0000
[HJ DJ CA CT C9 C8 ST DT DK DQ],HD,1,3,1,0,0,0.0000
[CJ SJ CA CT C9 C7 SK S9 DA D7],CS,2,3,2,0,0,0.9500
[HJ DJ CQ ST SQ S8 HA HT H8 D9],HD,2,2,1,0,0,0.7300
[CJ CT CQ ST SK SQ HA HT H7 DT],C,1,3,1,0,1,0.0000
[DJ CT CQ C8 ST SK HT H9 DT D7],D,1,4,1,0,0,0.0000
[SJ CT CK C7 SQ S8 HT H8 DK D9],S,1,1,1,0,1,0.0000
[HJ DJ CT CK HT HK H7 DA D9 D7],HD,1,2,0,1,0,1.0000
[HJ DJ CA S8 HA HT H8 H7 DT DK],HD,2,2,1,0,0,0.4300
[HJ CT CK C9 ST SQ S9 S8 HA D9],H,1,1,0,0,1,0.0000
[DJ C8 SQ S9 S8 H9 H7 DA DK D9],D,1,0,0,0,0,0.0000
[CK C9 ST HA HQ H9 H7 DA DT DQ],-,2,2,1,0,0,0.0000
[SJ DJ CK C9 SK SQ HT HQ H9 D8],SD,1,2,0,0,0,0.0000
[SJ CA C9 C7 SA ST SK HA HK D9],S,3,1,1,1,0,0.0300
[SJ CK C7 SK HK HQ H7 DA DQ D9],S,2,0,0,0,0,0.0000
[SJ DJ CA C7 SQ S9 S8 S7 HA DA],SD,3,0,0,0,0,0.3200
[CA CK CQ C9 SA S9 DA DT DK DQ],-,3,1,1,0,1,0.0400
[DJ C8 SA ST SQ HT H9 H7 DA DQ],D,2,2,1,1,0,0.0000
[CJ DJ CT C9 C8 C7 HA DA DQ D7],CD,2,1,0,0,0,0.3100
[CA CT C9 C8 SQ HK HQ DA D9 D7],-,1,0,0,0,2,0.0000
[SJ HJ CQ SA SQ S9 HQ H8 DK DQ],SH,1,0,0,0,0,0.0000
[SJ HJ CA C7 S8 HK H8 DT DQ D7],SH,1,1,0,0,0,0.0000
[SJ CT C9 SQ S8 S7 HA HT H7 D8],S,1,1,1,0,1,0.0000
[HJ CA C9 C8 ST HQ H8 H7 DK DQ],H,0,2,0,0,1,0.0000
[CJ SJ CK SA SK H9 H8 H7 D8 D7],CS,1,2,1,0,0,0.0300
[SJ CA C9 ST SQ HA HK H7 D9 D8],S,1,1,0,0,1,0.0000
[SJ DJ CA CK C9 C7 HA HK H9 DQ],SD,2,0,0,0,0,0.0900
[HJ DJ CA C8 SA SK H9 H8 DK DQ],HD,3,1,1,0,0,0.6200
[CJ SJ DJ CA CQ C9 SA DA DQ D9],CSD,3,0,0,0,0,1.0000
[HJ DJ C9 ST SK S9 H9 DQ D9 D8],HD,0,1,0,1,0,0.0000
[CJ CK C8 ST SQ S9 HT HQ H7 DQ],C,1,2,1,0,0,0.0000
[CJ HJ CK C9 C7 S7 HQ DA DT D9],CH,2,1,1,0,0,0.6000
[SJ HJ CT CK SQ HA HK H9 H7 DA],SH,2,1,0,1,0,0.9500
[SJ HJ C9 C7 S9 S8 HT H9 H7 DQ],SH,1,1,0,0,0,0.0000
[HJ CA CT C7 S9 S8 S7 HT HK D7],H,1,2,1,0,0,0.0000
[CJ SJ CA SA ST S8 S7 HT H7 D8],CS,2,2,1,0,0,0.5800
[CK C9 C8 SA SQ S7 HT H9 DT D8],-,1,2,0,2,0,0.0000
[SJ DJ CA CQ SK HA H9 H8 H7 D7],SD,2,0,0,0,0,0.3400
[CJ SJ CA CT CQ SA SQ HQ D8 D7],CS,2,1,1,0,0,0.6200
[DJ CK S7 HK HQ H9 H8 DK DQ D8],D,1,1,0,1,0,0.0000
[HJ CT C7 S9 S8 HT HK HQ DT DQ],H,0,2,0,1,1,0.0000
[DJ CQ SK S9 S7 H9 H8 DK DQ D7],D,0,0,0,0,0,0.0000
[CJ CA CT C8 S9 HA H8 DA DT D7],C,3,3,2,0,0,0.7600
[CA CT CQ ST SK SQ S7 DA DK D9],-,1,1,0,1,2,0.0000
[DJ CK CQ C9 C7 ST SQ S8 HK H7],D,0,1,0,0,0,0.0000
[CJ SJ HJ CA CK C7 HK HQ DA D8],CSH,2,1,0,0,0,0.9800
[HJ DJ CA CK CQ C7 SK S8 H8 DQ],HD,2,0,0,0,0,0.0800
[CK C9 C7 SQ S8 HT HK H8 H7 DK],-,0,1,0,1,0,0.0000
[DJ CK C9 C8 S8 H8 H7 DK DQ D8],D,0,1,0,1,0,0.0000
[CJ ST SK SQ HA HT H9 DA DQ D7],C,2,2,1,0,0,0.0200
[CT CK CQ ST SQ S9 S7 HA DQ D8],-,1,1,0,0,2,0.0000
[DJ CA C9 SK S9 S8 HK HQ H8 DA],D,3,0,0,0,0,0.0100
[SJ HJ CA CK C8 SA S8 S7 HA D8],SH,3,0,0,0,0,0.9700
[CJ HJ C8 SA SK S7 HA HQ DT D7],CH,2,1,0,1,0,0.3100
[SJ CT C9 ST SQ S8 HQ H9 H8 H7],S,0,2,0,0,1,0.0000
[CJ CA CT CK C9 SA SK HQ H8 D7],C,1,1,0,1,1,0.0000
[CT CQ C9 SQ S9 S8 HT H8 DT DK],-,1,2,1,1,1,0.0000
[SJ C8 S7 HT HK H9 DA DT DQ D9],S,1,2,1,1,0,0.4200
[CJ SJ CT C9 S7 HK H7 DA DK D9],CS,2,2,2,1,0,1.0000
[CT CK CQ C7 SK S8 HK H9 H7 DQ],-,1,0,0,0,1,0.0000
[CJ SJ CA CT CQ SQ H9 DT DK D9],CS,1,2,1,1,0,0.4000
[HJ C9 SA ST S9 H9 DT DK D9 D8],H,1,2,1,1,0,0.0000
[C9 C8 C7 SA ST SQ S9 S7 H8 D8],-,1,1,1,0,0,0.0000
[CA CQ C9 C7 H9 H8 DA DK DQ D8],-,1,0,0,0,1,0.0000
[CK CQ S7 HT HQ H9 H8 DA DQ D9],-,1,1,0,0,1,0.0000
[CJ CT CK CQ C7 ST S9 HQ H8 D7],C,0,2,0,1,0,0.0000
[SJ CA CQ ST SK S7 HK H8 DK D9],S,0,1,0,1,1,0.0000
[SJ CA CT CK SK S8 HT HK H9 DA],S,3,2,1,1,1,0.0900
[DJ CA CT CQ SA S9 HQ H9 DT D9],D,1,2,0,0,1,0.0000
[CJ SJ DJ CK C8 C7 SQ HK HQ DK],CSD,0,1,0,1,0,0.0000
[CA CK CQ C9 ST S8 HQ H8 H7 D8],-,0,1,0,0,1,0.0000
[CJ SJ DJ CA C9 SQ S7 HK HQ D9],CSD,1,0,0,0,0,0.1300
[CQ C9 SA SQ S8 HK DA DQ D9 D7],-,2,0,0,0,0,0.0000
[SJ CA CK SA SQ HA HT H9 H7 DA],S,4,2,2,0,0,0.7900
[CJ DJ CT CQ SK HA HT HQ H9 D8],CD,1,1,1,0,1,0.5100
[DJ CT CK CQ HT H9 H8 H7 DA D7],D,1,2,0,0,0,0.0700
[CA CK CQ SQ S8 S7 HA HT DQ D9],-,1,1,1,0,1,0.0000
[C8 C7 ST S9 HA HQ H9 H8 DA DQ],-,4,1,1,0,0,0.4800
[DJ CK SK S9 HT HK H9 H7 DK D7],D,1,1,0,1,1,0.0000
[HJ DJ CA CQ C8 ST HT DK D8 D7],HD,1,4,1,1,0,0.0000
[C9 C7 S8 HK HQ H9 H8 H7 DA D9],-,1,0,0,0,0,0.0000
[CA C9 S7 HA HT HK H9 DA DT D7],-,3,2,2,1,0,0.8000
[SJ DJ CT C7 SQ S9 S8 HT DA DK],SD,1,2,0,0,0,0.0000
[CJ DJ CT C9 ST SK S8 H8 D8 D7],CD,0,3,0,1,0,0.0000
[CJ HJ CA CK C8 C7 S9 S8 HQ DK],CH,1,1,1,1,0,1.0000
[CA C7 SK SQ S9 S7 H9 H7 DQ D8],-,0,0,0,0,1,0.0000
[SJ DJ CA SQ S7 HT HQ DA DT DK],SD,2,2,1,0,0,0.8500
[SJ CA S8 S7 HQ H9 H8 DT DQ D7],S,0,1,0,0,1,0.0000
[CJ DJ CT S9 S8 HT HQ DA DQ D8],CD,1,3,0,0,0,0.0000
[CJ HJ CT SA S8 HA HQ H8 DA DT],CH,3,2,1,0,0,0.8400
[CT SQ S9 HT HQ H9 H8 DT DK D7],-,0,2,0,1,2,0.0000
[HJ ST SK SQ S8 S7 HQ DK D9 D8],H,0,2,0,2,0,0.0000
[CJ CA CK CQ C9 C7 S9 HK H8 D9],C,1,1,0,1,1,0.0000
[CJ C8 C7 SA ST S7 HT H7 DK D8],C,1,3,1,1,0,0.0000
[SJ DJ CT SA SK SQ S8 HA DT D7],SD,2,2,1,1,1,0.3800
[HJ CT C8 ST S8 HT HQ DT DK D9],H,1,3,1,1,1,0.0000
[CJ SJ DJ CQ C9 C8 HA HT HQ D8],CSD,1,1,1,0,0,0.8400
[HJ DJ CK C9 SK S9 S7 H8 H7 D8],HD,0,1,0,1,0,0.0000
[SJ DJ CT CQ SQ S9 S8 HT H7 DQ],SD,0,2,0,0,0,0.0000
[DJ CK C9 C7 ST S7 HT HK H8 DK],D,0,2,0,1,1,0.0000
[SJ C9 C7 S9 S7 H8 H7 DA DQ D9],S,1,0,0,0,0,0.0000
[CJ SJ DJ CA CK CQ C7 HK D9 D7],CSD,1,1,1,1,0,1.0000
[SJ CA SA SK SQ DT DK D9 D8 D7],S,2,1,0,1,0,0.7200
[CJ HJ CT C8 SQ S7 HT HK H8 H7],CH,0,2,0,1,0,0.0000
[HJ C7 S9 HT HQ H9 DT DK DQ D8],H,1,2,1,1,0,0.0000
[CJ SJ HJ DJ CT C7 HT H9 H8 D8],CSHD,1,3,1,0,0,0.6000
[HJ DJ CT CK CQ C7 SA SK H7 D7],HD,1,2,1,1,0,0.0000
[SJ CT CQ SQ S7 HA HQ H7 DQ D8],S,1,0,0,0,1,0.0000
[SJ CA C9 C7 SK HT HK HQ H7 DA],S,1,1,0,1,1,0.0000
[CJ C9 C7 S7 HK HQ H9 H8 DA D7],C,2,0,0,0,0,0.0000
[CQ C9 C7 S9 HK HQ H8 DA D9 D7],-,1,1,1,0,0,0.0000
[SJ HJ CK CQ SK SQ S7 HK DK D7],SH,0,0,0,0,0,0.0000
[HJ DJ SA SQ S7 HA HT DA DT DK],HD,3,2,2,0,0,0.9800
[SJ CT C9 ST SQ S9 H9 H7 DA D8],S,1,1,0,1,1,0.0000
[CT C7 SA S7 HA HT H9 H8 DK DQ],-,2,1,1,0,1,0.0000
[DJ CA C9 C7 HK H9 H8 DK D9 D7],D,0,1,0,0,1,0.0000
[DJ CA CT CK S8 S7 H8 H7 DA D9],D,1,2,1,0,1,0.0000
[SJ HJ CT C9 SQ H9 H7 DT DK D8],SH,0,2,0,1,0,0.0000
[CA CQ C9 C8 HT H8 H7 DA DK D8],-,3,1,0,0,0,0.0100
[SJ DJ CA CT S9 HT HK H8 DA DK],SD,2,2,1,1,0,0.5700
[SJ CT C9 C8 ST HA HT HQ DT DK],S,1,3,1,0,1,0.0000
[CJ ST SK S9 S8 HA HT HK DA D8],C,2,1,1,0,1,0.0000
[SJ DJ CA CK C8 SK S7 H8 H7 D7],SD,1,0,0,0,0,0.0000
[CT CQ ST SK S7 HA H7 DA D8 D7],-,2,2,0,1,0,0.3000
[CA CK C8 SA ST S8 HQ H8 DT DQ],-,1,2,1,0,1,0.0000
[CJ DJ C9 SA SK S8 S7 HK H8 DQ],CD,2,0,0,0,0,0.1500
[HJ C9 SK S7 HA HT H9 H7 DK DQ],H,1,2,1,0,1,0.0000
[CK CQ ST SQ S8 HQ H9 H8 H7 DQ],-,1,1,0,0,0,0.0000
[CT CQ SK S8 HK H9 H7 DT DQ D7],-,0,1,0,0,2,0.0000
[SJ DJ CA CK SA HK H8 H7 DA D8],SD,3,0,0,0,0,0.0700
[SJ HJ CK C9 ST S9 S8 HQ DQ D8],SH,0,1,0,1,0,0.0000
[CK C7 ST SK SQ HA HQ H9 H7 D9],-,1,1,0,0,2,0.0000
[CT CK C9 C8 SA SQ S9 HK DT DQ],-,1,2,1,0,1,0.0000
[SJ HJ CT C9 S9 HA HK H7 DT DQ],SH,1,2,0,0,0,0.0000
[DJ CA CQ SK S7 HT H9 H8 DT D7],D,0,2,0,0,1,0.0000
[HJ DJ CA CT CK CQ SQ DT DQ D9],HD,2,2,1,0,0,0.2700
[CJ HJ DJ CK CQ C8 HT HQ H8 DQ],CHD,1,1,0,0,1,0.3200
[CA CK CQ C9 S8 S7 HT H8 DK DQ],-,0,1,0,0,1,0.0000
[HJ DJ CT CK ST SK HQ H9 DT D7],HD,0,3,0,2,0,0.0000
[CT C8 SA SK S9 HA H7 DA D9 D8],-,4,1,1,0,0,0.9000
[SJ CA CQ C7 SK S9 HQ DA DT DK],S,1,1,1,1,1,0.0000
[SJ CA CQ C8 SA S9 S7 HT HK H7],S,1,1,0,1,1,0.0000
[CJ C7 SA SQ HK H9 H7 DK D9 D8],C,1,1,1,0,1,0.0000
[SJ CA C8 SA HA HK HQ H8 DA D8],S,4,1,1,1,0,0.7500
[HJ DJ CT CQ C7 ST S9 S7 HQ D8],HD,0,2,0,0,0,0.0000
[CJ CK CQ C8 S9 S7 HK H9 DK D7],C,0,0,0,0,1,0.0000
[CJ SJ DJ CA S8 HT H7 DQ D8 D7],CSD,2,0,0,0,1,1.0000
[SJ C9 ST SK SQ S8 S7 HT DT D8],S,0,3,0,1,0,0.0000
[CA CQ SK SQ S9 H9 H7 DT DK D7],-,0,1,0,1,1,0.0000
[CQ SA SQ S9 H9 DA DK DQ D8 D7],-,2,0,0,0,0,0.0000
[CJ CA CT CK ST SQ S8 H7 D9 D8],C,0,3,0,1,1,0.0000
[CJ HJ CA C7 SA S7 H9 DK D9 D7],CH,2,0,0,0,0,0.0000
[CJ HJ CT CQ SA S7 HT HQ H9 D8],CH,2,2,1,0,0,0.5800
[HJ C9 ST HK H8 H7 DT DK D9 D8],H,0,2,0,1,1,0.0000
[CJ CA CK CQ C8 SK S9 HT DA DQ],C,1,1,0,0,1,0.0000
[CJ SJ DJ CA C9 C7 SK HA HQ D8],CSD,2,0,0,0,0,0.9900
[CJ CA CT C8 SA ST S9 HT H7 D9],C,3,3,2,0,0,0.8600
[SJ CT CK C7 SA S7 DA DT DK D9],S,2,3,2,2,0,0.0200
[SJ HJ CT C9 S8 S7 HA H8 DA D7],SH,2,1,0,0,0,0.0000
[CJ CQ C7 SA SQ S7 HK H9 H8 DA],C,2,0,0,0,0,0.0000
[DJ C9 SA ST SQ S9 HT H7 DT D8],D,1,3,1,0,0,0.0000
[SJ CA CT C7 SQ S7 HT HK H8 DQ],S,0,3,0,1,1,0.0000
[HJ DJ CA ST SK HA HQ H9 DA D9],HD,3,1,0,0,0,0.3800
[SJ C7 SA S9 S7 HA HT HK DT DQ],S,2,2,1,0,0,0.1700
[HJ CT CK CQ S9 S8 HA H8 H7 D9],H,1,0,0,0,1,0.0000
[HJ DJ CK SK SQ S8 HA HQ H8 D9],HD,1,0,0,0,0,0.0000
[HJ CA C8 C7 S9 HA HT HQ DA DQ],H,3,1,1,0,0,0.1400
[CJ DJ CQ C8 SA S8 S7 H8 H7 DA],CD,2,1,1,0,0,0.4300
[SJ CA CQ SK HA HT HQ H7 DA D7],S,3,1,1,0,0,0.8000
[SJ HJ CT CK CQ C9 ST S9 H9 DK],SH,0,2,0,1,1,0.0000
[CT SA ST S8 HK H8 H7 DA DK D7],-,2,2,1,0,0,0.0000
[CA CT ST S9 HK H8 H7 DQ D8 D7],-,0,1,0,0,2,0.0000
[CK CQ S8 H9 DA DT DK D9 D8 D7],-,1,1,1,1,0,0.0000
[HJ CT S9 S7 HT H9 DA DK D8 D7],H,2,2,0,0,0,0.0000
[HJ C8 ST SK SQ S7 HQ H8 H7 DQ],H,1,2,1,1,0,0.0000
[SJ CA SA SK HK HQ H8 DQ D8 D7],S,1,0,0,0,1,0.0000
[SJ DJ CT C8 C7 S9 H9 H7 DK D7],SD,1,1,0,0,0,0.0000
[DJ CK C9 SA ST SK HT HK H9 DQ],D,1,2,1,1,0,0.0000
[CJ CA ST SQ S9 S8 HQ DA DK D7],C,2,1,0,0,0,0.5100
[CT CK CQ C8 SA S8 S7 H7 DK DQ],-,2,0,0,0,1,0.0000
[CT ST S7 HA H8 DT DK DQ D8 D7],-,1,2,0,1,2,0.0000
[CJ SJ DJ CA SA SK SQ H9 D9 D7],CSD,2,0,0,0,0,1.0000
[SJ HJ DJ C7 SA S9 S8 HK H9 H7],SHD,2,0,0,0,0,0.7700
[SJ DJ CT HT HK HQ H9 DT DK DQ],SD,0,3,0,1,0,0.0000
[CJ CA C9 C8 C7 SA S8 S7 HA DA],C,4,0,0,0,0,0.7500
[CT CQ C8 S7 HA HK H9 H8 DK DQ],-,1,0,0,0,1,0.0000
[HJ CK C8 SA S8 DA DK DQ D8 D7],H,2,0,0,0,0,0.0000
[DJ CA CK C9 C8 SQ S9 H9 H7 D8],D,0,0,0,0,1,0.0000
[SJ HJ CQ C8 SQ S7 HQ H7 DA D8],SH,1,0,0,0,0,0.0000
[SJ CQ C8 ST HA HQ H9 D9 D8 D7],S,1,1,0,0,0,0.0000
[DJ CA C7 SA ST S8 S7 H7 DA DT],D,3,2,2,0,0,0.1200
[HJ DJ C9 C7 SA HA HK H7 DQ D8],HD,2,0,0,0,0,0.0000
[HJ CQ SK S9 HA HK H9 DA D9 D7],H,2,0,0,0,1,0.0000
[CJ SJ DJ CT C9 C7 H9 H8 DA DK],CSD,1,1,0,0,0,0.0200
[SJ HJ DJ CK CQ C9 ST SQ HA D9],SHD,1,1,0,0,0,0.2700
